Ewe/V	<I>/mA	cycle number	
-3,2509532E-005	-8,955612778663635E-001	1,000000000000000E+000
5,3981133E-004	-2,158435316441696E-001	1,000000000000000E+000
1,5241184E-003	-6,104221026061518E-002	1,000000000000000E+000
2,6709898E-003	-3,646925385735861E-002	1,000000000000000E+000
3,6297068E-003	-2,645197698646882E-002	1,000000000000000E+000
4,6246322E-003	-2,122982430916975E-002	1,000000000000000E+000
5,6354846E-003	-1,781024085067409E-002	1,000000000000000E+000
6,7132311E-003	-1,538580565242401E-002	1,000000000000000E+000
7,6503619E-003	-1,356440383936108E-002	1,000000000000000E+000
8,5724778E-003	-1,215400609187522E-002	1,000000000000000E+000
9,6417312E-003	-1,100017478802534E-002	1,000000000000000E+000
1,0631347E-002	-1,005948078488648E-002	1,000000000000000E+000
1,1696353E-002	-9,259393596161125E-003	1,000000000000000E+000
1,2705079E-002	-8,568217773956624E-003	1,000000000000000E+000
1,3672397E-002	-7,989875167196986E-003	1,000000000000000E+000
1,4709797E-002	-7,458197526436290E-003	1,000000000000000E+000
1,5702598E-002	-7,002092081730846E-003	1,000000000000000E+000
1,6650802E-002	-6,609304028414351E-003	1,000000000000000E+000
1,7637616E-002	-6,245106893369066E-003	1,000000000000000E+000
1,8642778E-002	-5,917729220313195E-003	1,000000000000000E+000
1,9652568E-002	-5,628410220339376E-003	1,000000000000000E+000
2,0647492E-002	-5,351371278148470E-003	1,000000000000000E+000
2,1641357E-002	-5,098477977340130E-003	1,000000000000000E+000
2,2726534E-002	-4,864622747095010E-003	1,000000000000000E+000
2,3655627E-002	-4,661672743576645E-003	1,000000000000000E+000
2,4790617E-002	-4,415004463368344E-003	1,000000000000000E+000
2,5834482E-002	-4,539138565878439E-003	1,000000000000000E+000
2,6822232E-002	-4,362256200005250E-003	1,000000000000000E+000
2,7867867E-002	-4,201009938738356E-003	1,000000000000000E+000
2,8815011E-002	-4,054433749389456E-003	1,000000000000000E+000
2,9815242E-002	-3,911521643102669E-003	1,000000000000000E+000
3,0833533E-002	-3,783892811604142E-003	1,000000000000000E+000
3,1800848E-002	-3,663517650521184E-003	1,000000000000000E+000
3,2827627E-002	-3,543013023094281E-003	1,000000000000000E+000
3,3844847E-002	-3,444861481183989E-003	1,000000000000000E+000
3,4808982E-002	-3,352714730765887E-003	1,000000000000000E+000
3,5884622E-002	-3,223915705081890E-003	1,000000000000000E+000
3,6863603E-002	-3,110312485775459E-003	1,000000000000000E+000
3,7830923E-002	-3,036160371794272E-003	1,000000000000000E+000
3,8851332E-002	-2,943951863047931E-003	1,000000000000000E+000
3,9803781E-002	-2,874252923277650E-003	1,000000000000000E+000
4,0801898E-002	-2,799400417631118E-003	1,000000000000000E+000
4,1749038E-002	-2,722973853125685E-003	1,000000000000000E+000
4,2791747E-002	-2,651087193400851E-003	1,000000000000000E+000
4,3840822E-002	-2,592282346469589E-003	1,000000000000000E+000
4,4791847E-002	-2,527265748811076E-003	1,000000000000000E+000
4,5764841E-002	-2,442960683802831E-003	1,000000000000000E+000
4,6828784E-002	-2,376528664939115E-003	1,000000000000000E+000
4,7802474E-002	-2,323349895196763E-003	1,000000000000000E+000
4,8810139E-002	-2,266849588124717E-003	1,000000000000000E+000
4,9819928E-002	-2,221683743768820E-003	1,000000000000000E+000
5,0849892E-002	-2,162683770173267E-003	1,000000000000000E+000
5,1873486E-002	-2,131397318888350E-003	1,000000000000000E+000
5,2782409E-002	-2,088521095131347E-003	1,000000000000000E+000
5,3820867E-002	-2,037272289776917E-003	1,000000000000000E+000
5,4855563E-002	-1,974141727474597E-003	1,000000000000000E+000
5,5772491E-002	-1,925520097094801E-003	1,000000000000000E+000
5,6812014E-002	-1,896422284052998E-003	1,000000000000000E+000
5,7829238E-002	-1,849822507631497E-003	1,000000000000000E+000
5,8806110E-002	-1,820485781987919E-003	1,000000000000000E+000
5,9855185E-002	-1,795645566356778E-003	1,000000000000000E+000
6,0832068E-002	-1,751297668756091E-003	1,000000000000000E+000
6,1807871E-002	-1,727040463201501E-003	1,000000000000000E+000
6,2837839E-002	-1,690167717321099E-003	1,000000000000000E+000
6,3847817E-002	-1,640546979152056E-003	1,000000000000000E+000
6,4847864E-002	-1,607094771736759E-003	1,000000000000000E+000
6,5822616E-002	-1,586963003626689E-003	1,000000000000000E+000
6,6815414E-002	-1,564883815677397E-003	1,000000000000000E+000
6,7833699E-002	-1,540437451839106E-003	1,000000000000000E+000
6,8794645E-002	-1,505537211047677E-003	1,000000000000000E+000
6,9826737E-002	-1,493774872609981E-003	1,000000000000000E+000
7,0811041E-002	-1,470208885025094E-003	1,000000000000000E+000
7,1834646E-002	-1,440514718732657E-003	1,000000000000000E+000
7,2817825E-002	-1,404684529136840E-003	1,000000000000000E+000
7,3828742E-002	-1,373273848324731E-003	1,000000000000000E+000
7,4803486E-002	-1,351543674067127E-003	1,000000000000000E+000
7,5847261E-002	-1,329659377998456E-003	1,000000000000000E+000
7,6820940E-002	-1,318006462174830E-003	1,000000000000000E+000
7,7850908E-002	-1,301092948342544E-003	1,000000000000000E+000
7,8788497E-002	-1,283942735372851E-003	1,000000000000000E+000
7,9832271E-002	-1,258636940626334E-003	1,000000000000000E+000
8,0794275E-002	-1,240203295094463E-003	1,000000000000000E+000
8,1820697E-002	-1,213533133965411E-003	1,000000000000000E+000
8,2859509E-002	-1,179451734717025E-003	1,000000000000000E+000
8,3784357E-002	-1,172795349153936E-003	1,000000000000000E+000
8,4769733E-002	-1,159056166157246E-003	1,000000000000000E+000
8,5842170E-002	-1,140752959190548E-003	1,000000000000000E+000
8,6827539E-002	-1,117630872684666E-003	1,000000000000000E+000
8,7799102E-002	-1,110287371169073E-003	1,000000000000000E+000
8,8758983E-002	-1,096070515196070E-003	1,000000000000000E+000
8,9810200E-002	-1,089773453080718E-003	1,000000000000000E+000
9,0804055E-002	-1,077812604020137E-003	1,000000000000000E+000
9,1831237E-002	-1,039532096228590E-003	1,000000000000000E+000
9,2830002E-002	-1,027647183267075E-003	1,000000000000000E+000
9,3807936E-002	-1,012930418619056E-003	1,000000000000000E+000
9,4813474E-002	-1,004525548618681E-003	1,000000000000000E+000
9,5814779E-002	-1,000778085741155E-003	1,000000000000000E+000
9,6803337E-002	-9,731343907183679E-004	1,000000000000000E+000
9,7780198E-002	-9,741636284036591E-004	1,000000000000000E+000
9,8786801E-002	-9,540040128645797E-004	1,000000000000000E+000
9,9787042E-002	-9,506107052951133E-004	1,000000000000000E+000
1,0074274E-001	-9,110496261662011E-004	1,000000000000000E+000
1,0182893E-001	-8,884844480372793E-004	1,000000000000000E+000
1,0280792E-001	-8,816963573527550E-004	1,000000000000000E+000
1,0381240E-001	-8,710427400852594E-004	1,000000000000000E+000
1,0479034E-001	-8,539706021733597E-004	1,000000000000000E+000
1,0576934E-001	-8,592523484422781E-004	1,000000000000000E+000
1,0681311E-001	-8,277685566228966E-004	1,000000000000000E+000
1,0779635E-001	-8,142486542783850E-004	1,000000000000000E+000
1,0879234E-001	-8,159380754155475E-004	1,000000000000000E+000
1,0979231E-001	-8,057816574078835E-004	1,000000000000000E+000
1,1084697E-001	-7,909935408581224E-004	1,000000000000000E+000
1,1178136E-001	-7,755164064222192E-004	1,000000000000000E+000
1,1280708E-001	-7,578350379379194E-004	1,000000000000000E+000
1,1380517E-001	-7,530439638853068E-004	1,000000000000000E+000
1,1482134E-001	-7,348796106680412E-004	1,000000000000000E+000
1,1582796E-001	-7,329958010496579E-004	1,000000000000000E+000
1,1680376E-001	-7,248513695201058E-004	1,000000000000000E+000
