Ewe/V	<I>/mA	cycle number	
-9,9356417E-005	-2,171758115291595E-001	1,000000000000000E+000
6,3011382E-004	-1,092657224405051E-001	1,000000000000000E+000
1,5666388E-003	-6,258449453254400E-002	1,000000000000000E+000
2,5307713E-003	-4,820437047523890E-002	1,000000000000000E+000
3,6350635E-003	-3,957311376557610E-002	1,000000000000000E+000
4,6724617E-003	-3,408788440616012E-002	1,000000000000000E+000
5,7459613E-003	-3,015869531290533E-002	1,000000000000000E+000
6,7082290E-003	-2,715431885013125E-002	1,000000000000000E+000
7,6508666E-003	-2,479562043294714E-002	1,000000000000000E+000
8,6617181E-003	-2,282450275570624E-002	1,000000000000000E+000
9,6619530E-003	-2,112943078737065E-002	1,000000000000000E+000
1,0635642E-002	-1,963992923951663E-002	1,000000000000000E+000
1,1649678E-002	-1,839367550063375E-002	1,000000000000000E+000
1,2664779E-002	-1,726137795878885E-002	1,000000000000000E+000
1,3675531E-002	-1,622932418060100E-002	1,000000000000000E+000
1,4687546E-002	-1,534637842747616E-002	1,000000000000000E+000
1,5655924E-002	-1,452836016923730E-002	1,000000000000000E+000
1,6663592E-002	-1,379704062827988E-002	1,000000000000000E+000
1,7634096E-002	-1,317498037264769E-002	1,000000000000000E+000
1,8681049E-002	-1,255902713307233E-002	1,000000000000000E+000
1,9601651E-002	-1,200910061873689E-002	1,000000000000000E+000
2,0645937E-002	-1,146674956122520E-002	1,000000000000000E+000
2,1640342E-002	-1,097411984402752E-002	1,000000000000000E+000
2,2580054E-002	-1,049637797240026E-002	1,000000000000000E+000
2,3660986E-002	-1,009328505079748E-002	1,000000000000000E+000
2,4630427E-002	-9,730715383807216E-003	1,000000000000000E+000
2,5570134E-002	-9,360009607966652E-003	1,000000000000000E+000
2,6622402E-002	-9,030446228428690E-003	1,000000000000000E+000
2,7650243E-002	-8,690322975415832E-003	1,000000000000000E+000
2,8662303E-002	-8,371719338508193E-003	1,000000000000000E+000
2,9685751E-002	-8,080015134326629E-003	1,000000000000000E+000
3,0652011E-002	-7,826027199319741E-003	1,000000000000000E+000
3,1615078E-002	-7,546212271018510E-003	1,000000000000000E+000
3,2676894E-002	-7,301296693639311E-003	1,000000000000000E+000
3,3631474E-002	-7,053004042337836E-003	1,000000000000000E+000
3,4611531E-002	-6,822031071565850E-003	1,000000000000000E+000
3,5633877E-002	-6,604227423427783E-003	1,000000000000000E+000
3,6683142E-002	-6,399786317113326E-003	1,000000000000000E+000
3,7699308E-002	-6,194171960868960E-003	1,000000000000000E+000
3,8661312E-002	-6,023142979628944E-003	1,000000000000000E+000
3,9694462E-002	-5,841926090444913E-003	1,000000000000000E+000
4,0680893E-002	-5,667959986800503E-003	1,000000000000000E+000
4,1725729E-002	-5,500544044529709E-003	1,000000000000000E+000
4,2757813E-002	-5,339849845165986E-003	1,000000000000000E+000
4,3678414E-002	-5,179448176167625E-003	1,000000000000000E+000
4,4665907E-002	-5,033073539083003E-003	1,000000000000000E+000
4,5642775E-002	-4,895336022411786E-003	1,000000000000000E+000
4,6696320E-002	-4,989347596829813E-003	1,000000000000000E+000
4,7809951E-002	-4,676881854017448E-003	1,000000000000000E+000
4,8819743E-002	-4,563517879375019E-003	1,000000000000000E+000
4,9801927E-002	-4,432438044450315E-003	1,000000000000000E+000
5,0765142E-002	-4,318135644625604E-003	1,000000000000000E+000
5,1759925E-002	-4,208864634138555E-003	1,000000000000000E+000
5,2778207E-002	-4,097847765324274E-003	1,000000000000000E+000
5,3789057E-002	-3,974217354894678E-003	1,000000000000000E+000
5,4808401E-002	-3,879853119123880E-003	1,000000000000000E+000
5,5790588E-002	-3,786725217535604E-003	1,000000000000000E+000
5,6797195E-002	-3,688840944481780E-003	1,000000000000000E+000
5,7790905E-002	-3,609700674877238E-003	1,000000000000000E+000
5,8745634E-002	-3,523040412300324E-003	1,000000000000000E+000
5,9804276E-002	-3,448251835428240E-003	1,000000000000000E+000
6,0777958E-002	-3,363836590231539E-003	1,000000000000000E+000
6,1780315E-002	-3,289864474169429E-003	1,000000000000000E+000
6,2718958E-002	-3,200766485083578E-003	1,000000000000000E+000
6,3781843E-002	-3,140242905142178E-003	1,000000000000000E+000
6,4776771E-002	-3,057857980230870E-003	1,000000000000000E+000
6,5787040E-002	-2,983005698760628E-003	1,000000000000000E+000
6,6808037E-002	-2,928346546885285E-003	1,000000000000000E+000
6,7817822E-002	-2,860788628719649E-003	1,000000000000000E+000
6,8726733E-002	-2,794928338287987E-003	1,000000000000000E+000
6,9703609E-002	-2,729770070672582E-003	1,000000000000000E+000
7,0745260E-002	-2,673103451081260E-003	1,000000000000000E+000
7,1789026E-002	-2,597938283281128E-003	1,000000000000000E+000
7,2788298E-002	-2,569861461847785E-003	1,000000000000000E+000
7,3742777E-002	-2,500079266973536E-003	1,000000000000000E+000
7,4755751E-002	-2,445822892419666E-003	1,000000000000000E+000
7,5713515E-002	-2,384603302325275E-003	1,000000000000000E+000
7,6688267E-002	-2,331395907002310E-003	1,000000000000000E+000
7,7759638E-002	-2,290722422508724E-003	1,000000000000000E+000
7,8777924E-002	-2,224571832372936E-003	1,000000000000000E+000
7,9793759E-002	-2,174586732051524E-003	1,000000000000000E+000
8,0696635E-002	-2,155940823525306E-003	1,000000000000000E+000
8,1728727E-002	-2,091414036139234E-003	1,000000000000000E+000
8,2727902E-002	-2,045952072088578E-003	1,000000000000000E+000
8,3670795E-002	-2,015165120771482E-003	1,000000000000000E+000
8,4719867E-002	-1,974491163076675E-003	1,000000000000000E+000
8,5741341E-002	-1,928822654321878E-003	1,000000000000000E+000
8,6744756E-002	-1,872814840255954E-003	1,000000000000000E+000
8,7710328E-002	-1,852630425785573E-003	1,000000000000000E+000
8,8730365E-002	-1,826285458080917E-003	1,000000000000000E+000
8,9719988E-002	-1,783421126736379E-003	1,000000000000000E+000
9,0742506E-002	-1,731912333795708E-003	1,000000000000000E+000
9,1704518E-002	-1,686797171681707E-003	1,000000000000000E+000
9,2758909E-002	-1,662340269138531E-003	1,000000000000000E+000
9,3721978E-002	-1,635071063953261E-003	1,000000000000000E+000
9,4750769E-002	-1,596641141883666E-003	1,000000000000000E+000
9,5724560E-002	-1,577493526921750E-003	1,000000000000000E+000
9,6699320E-002	-1,550343091548296E-003	1,000000000000000E+000
9,7698495E-002	-1,526490515797868E-003	1,000000000000000E+000
9,8716766E-002	-1,497984961935876E-003	1,000000000000000E+000
9,9731877E-002	-1,462754761630759E-003	1,000000000000000E+000
1,0071405E-001	-1,430190918107740E-003	1,000000000000000E+000
1,0177123E-001	-1,388887148139485E-003	1,000000000000000E+000
1,0269753E-001	-1,394186714927619E-003	1,000000000000000E+000
1,0365848E-001	-1,355544225717124E-003	1,000000000000000E+000
1,0474260E-001	-1,323131471454910E-003	1,000000000000000E+000
1,0571099E-001	-1,314430023733799E-003	1,000000000000000E+000
1,0675369E-001	-1,268423714664051E-003	1,000000000000000E+000
1,0770508E-001	-1,256991603119113E-003	1,000000000000000E+000
1,0875841E-001	-1,222257276286138E-003	1,000000000000000E+000
1,0971109E-001	-1,207484731578291E-003	1,000000000000000E+000
1,1068348E-001	-1,200037050456765E-003	1,000000000000000E+000
1,1168691E-001	-1,168225221518363E-003	1,000000000000000E+000
1,1271050E-001	-1,152498164503121E-003	1,000000000000000E+000
1,1373621E-001	-1,128378339752484E-003	1,000000000000000E+000
1,1475557E-001	-1,106741353258316E-003	1,000000000000000E+000
1,1574306E-001	-1,074623751590731E-003	1,000000000000000E+000
1,1670390E-001	-1,059970272333510E-003	1,000000000000000E+000
1,1770211E-001	-1,054623044331736E-003	1,000000000000000E+000
1,1875331E-001	-1,028515960524702E-003	1,000000000000000E+000
1,1969728E-001	-1,014476748990621E-003	1,000000000000000E+000
1,2071768E-001	-1,002916581598094E-003	1,000000000000000E+000
1,2172111E-001	-9,656485917916187E-004	1,000000000000000E+000
1,2269692E-001	-9,523609738017968E-004	1,000000000000000E+000
1,2366848E-001	-9,319925729559947E-004	1,000000000000000E+000
1,2468359E-001	-9,398783239629796E-004	1,000000000000000E+000
1,2571037E-001	-9,260460690612617E-004	1,000000000000000E+000
1,2667662E-001	-9,046364354293457E-004	1,000000000000000E+000
1,2771933E-001	-8,749326594282656E-004	1,000000000000000E+000
1,2867072E-001	-8,650408362841158E-004	1,000000000000000E+000
1,2969536E-001	-8,424343715326566E-004	1,000000000000000E+000
1,3072746E-001	-7,937868594669883E-004	1,000000000000000E+000
1,3172689E-001	-8,066372848687233E-004	1,000000000000000E+000
1,3269289E-001	-8,042416168236241E-004	1,000000000000000E+000
1,3369524E-001	-7,931561279036319E-004	1,000000000000000E+000
1,3471352E-001	-7,903031822405326E-004	1,000000000000000E+000
1,3571164E-001	-7,625304128316083E-004	1,000000000000000E+000
1,3666196E-001	-7,522484460841957E-004	1,000000000000000E+000
1,3768555E-001	-7,417402235601503E-004	1,000000000000000E+000
1,3863567E-001	-7,434899012422492E-004	1,000000000000000E+000
1,3970090E-001	-7,503267507666771E-004	1,000000000000000E+000
1,4070751E-001	-7,350540200412063E-004	1,000000000000000E+000
1,4166315E-001	-7,356939807845533E-004	1,000000000000000E+000
1,4265276E-001	-7,265124387488501E-004	1,000000000000000E+000
1,4371246E-001	-7,049783858074140E-004	1,000000000000000E+000
1,4465216E-001	-7,043961034295517E-004	1,000000000000000E+000
1,4571187E-001	-6,852958916453719E-004	1,000000000000000E+000
1,4670785E-001	-7,014213036523036E-004	1,000000000000000E+000
1,4770277E-001	-6,927655818237920E-004	1,000000000000000E+000
1,4869452E-001	-6,778251740047559E-004	1,000000000000000E+000
1,4968625E-001	-6,618747298580089E-004	1,000000000000000E+000
1,5068224E-001	-6,505423330327590E-004	1,000000000000000E+000
1,5168037E-001	-6,352274300430666E-004	1,000000000000000E+000
1,5264449E-001	-6,478879968621967E-004	1,000000000000000E+000
1,5369473E-001	-6,442559707647601E-004	1,000000000000000E+000
1,5471715E-001	-6,483619170378459E-004	1,000000000000000E+000
1,5568128E-001	-6,350836548292484E-004	1,000000000000000E+000
1,5667515E-001	-6,226437927964860E-004	1,000000000000000E+000
1,5764566E-001	-6,136578318874462E-004	1,000000000000000E+000
1,5867561E-001	-6,108247472491612E-004	1,000000000000000E+000
1,5964293E-001	-5,979946007087411E-004	1,000000000000000E+000
1,6067049E-001	-5,847485145912078E-004	1,000000000000000E+000
1,6166782E-001	-6,090453255064532E-004	1,000000000000000E+000
1,6262983E-001	-6,111386438918019E-004	1,000000000000000E+000
1,6366829E-001	-6,026705471154350E-004	1,000000000000000E+000
1,6468020E-001	-5,991511458522530E-004	1,000000000000000E+000
1,6569002E-001	-5,717941481245860E-004	1,000000000000000E+000
1,6664138E-001	-5,707609149599828E-004	1,000000000000000E+000
