Ewe/V	<I>/mA	cycle number	
2,6746525E-004	-4,480707943439484E-001	1,000000000000000E+000
8,1409008E-004	-1,504583760468790E-001	1,000000000000000E+000
1,8230310E-003	-5,275416053021681E-002	1,000000000000000E+000
2,9294475E-003	-3,290286988533114E-002	1,000000000000000E+000
3,9466708E-003	-2,450565489477846E-002	1,000000000000000E+000
4,9235448E-003	-1,981883729853445E-002	1,000000000000000E+000
5,9849862E-003	-1,672458968142132E-002	1,000000000000000E+000
6,9537447E-003	-1,454209488401581E-002	1,000000000000000E+000
7,9561016E-003	-1,285859824793387E-002	1,000000000000000E+000
8,9510269E-003	-1,155012063911742E-002	1,000000000000000E+000
9,9693127E-003	-1,057168499527283E-002	1,000000000000000E+000
1,0926013E-002	-9,681811582618067E-003	1,000000000000000E+000
1,1922000E-002	-8,937964304572076E-003	1,000000000000000E+000
1,2982756E-002	-8,272888908524886E-003	1,000000000000000E+000
1,3956971E-002	-7,709853374454971E-003	1,000000000000000E+000
1,4997031E-002	-7,212823416030384E-003	1,000000000000000E+000
1,5902761E-002	-6,788768167061018E-003	1,000000000000000E+000
1,6968830E-002	-6,399428890595669E-003	1,000000000000000E+000
1,7957382E-002	-6,053807998122052E-003	1,000000000000000E+000
1,8920453E-002	-5,738859312061598E-003	1,000000000000000E+000
1,9922810E-002	-5,454855324550562E-003	1,000000000000000E+000
2,0975126E-002	-5,195065845595434E-003	1,000000000000000E+000
2,1912662E-002	-4,957676339542624E-003	1,000000000000000E+000
2,2946876E-002	-4,737242232975662E-003	1,000000000000000E+000
2,3975777E-002	-4,541206203230574E-003	1,000000000000000E+000
2,5179880E-002	-4,282927482583146E-003	1,000000000000000E+000
2,6150385E-002	-4,125567123233424E-003	1,000000000000000E+000
2,7190968E-002	-3,966076842885656E-003	1,000000000000000E+000
2,8196530E-002	-3,815000324695707E-003	1,000000000000000E+000
2,9159578E-002	-3,688620031889703E-003	1,000000000000000E+000
3,0206535E-002	-3,544455959924656E-003	1,000000000000000E+000
3,1265169E-002	-3,423305940835428E-003	1,000000000000000E+000
3,2165594E-002	-3,303390818687912E-003	1,000000000000000E+000
3,3165824E-002	-3,184203909916750E-003	1,000000000000000E+000
3,4172434E-002	-3,088170865754161E-003	1,000000000000000E+000
3,5164937E-002	-2,987529536757155E-003	1,000000000000000E+000
3,6209006E-002	-2,885764600883842E-003	1,000000000000000E+000
3,7179507E-002	-2,804070420427528E-003	1,000000000000000E+000
3,8204163E-002	-2,718912346204486E-003	1,000000000000000E+000
3,9175730E-002	-2,633705111223128E-003	1,000000000000000E+000
4,0196139E-002	-2,554479725732152E-003	1,000000000000000E+000
4,1187875E-002	-2,472076063052154E-003	1,000000000000000E+000
4,2212531E-002	-2,399643182505319E-003	1,000000000000000E+000
4,3175086E-002	-2,331081837999661E-003	1,000000000000000E+000
4,4142921E-002	-2,267066684765763E-003	1,000000000000000E+000
4,5199435E-002	-2,200741053947863E-003	1,000000000000000E+000
4,6170995E-002	-2,141894340579025E-003	1,000000000000000E+000
4,7200959E-002	-2,082281546830097E-003	1,000000000000000E+000
4,8175715E-002	-2,020756070643465E-003	1,000000000000000E+000
4,9145155E-002	-1,969682050124711E-003	1,000000000000000E+000
