Ewe/V	<I>/mA	cycle number	
5,4310163E-005	-4,952348172664642E-001	1,000000000000000E+000
4,8434720E-004	-1,287112780783293E-001	1,000000000000000E+000
1,5594398E-003	-3,944375608163886E-002	1,000000000000000E+000
2,6175433E-003	-2,508840280059155E-002	1,000000000000000E+000
3,5699955E-003	-1,917236513427037E-002	1,000000000000000E+000
4,5681060E-003	-1,569218161783037E-002	1,000000000000000E+000
5,6437296E-003	-1,338888964084635E-002	1,000000000000000E+000
6,5965075E-003	-1,172257589507545E-002	1,000000000000000E+000
7,6431367E-003	-1,044742837847874E-002	1,000000000000000E+000
8,6178863E-003	-9,438968323292066E-003	1,000000000000000E+000
9,5936991E-003	-8,606425762364450E-003	1,000000000000000E+000
1,0641715E-002	-7,917221520880605E-003	1,000000000000000E+000
1,1614343E-002	-7,331229968283171E-003	1,000000000000000E+000
1,2610329E-002	-6,820497567640802E-003	1,000000000000000E+000
1,3551903E-002	-6,382512757405985E-003	1,000000000000000E+000
1,4643714E-002	-5,976042851870117E-003	1,000000000000000E+000
1,5613156E-002	-5,645431734336709E-003	1,000000000000000E+000
1,6577287E-002	-5,336467630721954E-003	1,000000000000000E+000
1,7584955E-002	-5,043006360532440E-003	1,000000000000000E+000
1,8620228E-002	-4,786145909566091E-003	1,000000000000000E+000
1,9749137E-002	-4,471491971333345E-003	1,000000000000000E+000
2,0756612E-002	-4,264911749528762E-003	1,000000000000000E+000
2,1845488E-002	-4,064943119301414E-003	1,000000000000000E+000
2,2882374E-002	-3,874676775392100E-003	1,000000000000000E+000
2,3817835E-002	-3,715304481016070E-003	1,000000000000000E+000
2,4843555E-002	-3,551270212095628E-003	1,000000000000000E+000
2,5821490E-002	-3,414192630752565E-003	1,000000000000000E+000
2,6821725E-002	-3,278266600240245E-003	1,000000000000000E+000
2,7836826E-002	-3,155107020360620E-003	1,000000000000000E+000
2,8895313E-002	-3,028180560205901E-003	1,000000000000000E+000
2,9836234E-002	-2,907370630092200E-003	1,000000000000000E+000
3,0841775E-002	-2,797165305701885E-003	1,000000000000000E+000
3,1797413E-002	-2,700807263139808E-003	1,000000000000000E+000
3,2869849E-002	-2,601300096550453E-003	1,000000000000000E+000
3,3814870E-002	-2,525312303405858E-003	1,000000000000000E+000
3,4838464E-002	-2,428554707785429E-003	1,000000000000000E+000
3,5806842E-002	-2,347837025681119E-003	1,000000000000000E+000
3,6891505E-002	-2,263898315988930E-003	1,000000000000000E+000
3,7852973E-002	-2,183957004933774E-003	1,000000000000000E+000
3,8812857E-002	-2,122078091962065E-003	1,000000000000000E+000
3,9856624E-002	-2,048309613339294E-003	1,000000000000000E+000
4,0825009E-002	-1,980515735604288E-003	1,000000000000000E+000
4,1839045E-002	-1,927797490224176E-003	1,000000000000000E+000
4,2828660E-002	-1,861322984503151E-003	1,000000000000000E+000
4,3804348E-002	-1,805183841927550E-003	1,000000000000000E+000
4,4810012E-002	-1,738162181800659E-003	1,000000000000000E+000
4,5839977E-002	-1,692291274763145E-003	1,000000000000000E+000
4,6840213E-002	-1,641917069508697E-003	1,000000000000000E+000
4,7838327E-002	-1,588988944412554E-003	1,000000000000000E+000
4,8817329E-002	-1,551948202181436E-003	1,000000000000000E+000
4,9836665E-002	-1,502706169861468E-003	1,000000000000000E+000
5,0862383E-002	-1,460658783367833E-003	1,000000000000000E+000
5,1815238E-002	-1,407993679860220E-003	1,000000000000000E+000
5,2780040E-002	-1,361663024378894E-003	1,000000000000000E+000
5,3846102E-002	-1,324695628948130E-003	1,000000000000000E+000
5,4835722E-002	-1,283104514819701E-003	1,000000000000000E+000
5,5838078E-002	-1,245340472991399E-003	1,000000000000000E+000
5,6835126E-002	-1,218282538747961E-003	1,000000000000000E+000
5,7861902E-002	-1,177001874420060E-003	1,000000000000000E+000
5,8851238E-002	-1,145486140473062E-003	1,000000000000000E+000
5,9789110E-002	-1,101704069822807E-003	1,000000000000000E+000
6,0795709E-002	-1,073582812829195E-003	1,000000000000000E+000
6,1809748E-002	-1,045308215977545E-003	1,000000000000000E+000
6,2813178E-002	-1,016133457761870E-003	1,000000000000000E+000
6,3876055E-002	-9,829405658622180E-004	1,000000000000000E+000
6,4834870E-002	-9,563236067120645E-004	1,000000000000000E+000
6,5848917E-002	-9,352123317570189E-004	1,000000000000000E+000
6,6845313E-002	-8,918771144409195E-004	1,000000000000000E+000
6,7793101E-002	-8,711974184575783E-004	1,000000000000000E+000
6,8893149E-002	-8,503198013862674E-004	1,000000000000000E+000
6,9798879E-002	-8,319292239749899E-004	1,000000000000000E+000
7,0815042E-002	-8,108479582781547E-004	1,000000000000000E+000
7,1786605E-002	-7,815962022822715E-004	1,000000000000000E+000
7,2809137E-002	-7,680980840246709E-004	1,000000000000000E+000
7,3835835E-002	-7,389665602113779E-004	1,000000000000000E+000
7,4839346E-002	-7,120019952609399E-004	1,000000000000000E+000
7,5866118E-002	-6,969303064420646E-004	1,000000000000000E+000
7,6826006E-002	-6,759933238137828E-004	1,000000000000000E+000
7,7825174E-002	-6,585395499799120E-004	1,000000000000000E+000
7,8795671E-002	-6,440284947476400E-004	1,000000000000000E+000
7,9859622E-002	-6,248911356584058E-004	1,000000000000000E+000
8,0848180E-002	-6,120547787509733E-004	1,000000000000000E+000
8,1794657E-002	-5,829853313482330E-004	1,000000000000000E+000
8,2822099E-002	-5,649003623954419E-004	1,000000000000000E+000
8,3849944E-002	-5,482421126467747E-004	1,000000000000000E+000
8,4826820E-002	-5,309092968772220E-004	1,000000000000000E+000
8,5816428E-002	-5,180059933599440E-004	1,000000000000000E+000
8,6842157E-002	-5,061406221488155E-004	1,000000000000000E+000
8,7829642E-002	-4,893285226599997E-004	1,000000000000000E+000
8,8791333E-002	-4,750736038040262E-004	1,000000000000000E+000
8,9856662E-002	-4,613436076376541E-004	1,000000000000000E+000
9,0862200E-002	-4,440364270672514E-004	1,000000000000000E+000
9,1834836E-002	-4,255279624582426E-004	1,000000000000000E+000
9,2814893E-002	-4,154497834042356E-004	1,000000000000000E+000
9,3832113E-002	-4,088596965289844E-004	1,000000000000000E+000
9,4758019E-002	-4,007132868572216E-004	1,000000000000000E+000
9,5799662E-002	-3,833123293522853E-004	1,000000000000000E+000
9,6861839E-002	-3,672398611224131E-004	1,000000000000000E+000
9,7825609E-002	-3,447333127376030E-004	1,000000000000000E+000
9,8842829E-002	-3,386702087966906E-004	1,000000000000000E+000
9,9831387E-002	-3,292881556303962E-004	1,000000000000000E+000
1,0082632E-001	-3,134264788391262E-004	1,000000000000000E+000
1,0181911E-001	-3,055673403716862E-004	1,000000000000000E+000
1,0283104E-001	-2,970457061051424E-004	1,000000000000000E+000
1,0381509E-001	-2,874538216397825E-004	1,000000000000000E+000
1,0481452E-001	-2,601835233209983E-004	1,000000000000000E+000
1,0580731E-001	-2,552534904127499E-004	1,000000000000000E+000
1,0683409E-001	-2,428230186658209E-004	1,000000000000000E+000
1,0781097E-001	-2,387244981480333E-004	1,000000000000000E+000
1,0880058E-001	-2,339215757965244E-004	1,000000000000000E+000
1,0986453E-001	-2,221247031809234E-004	1,000000000000000E+000
1,1083398E-001	-2,136854551681518E-004	1,000000000000000E+000
1,1175706E-001	-1,900848610572644E-004	1,000000000000000E+000
1,1283231E-001	-1,859477751706288E-004	1,000000000000000E+000
1,1382086E-001	-1,811349780278291E-004	1,000000000000000E+000
1,1484870E-001	-1,715669486162166E-004	1,000000000000000E+000
1,1582452E-001	-1,653553319500830E-004	1,000000000000000E+000
1,1680353E-001	-1,563523506215901E-004	1,000000000000000E+000
1,1781862E-001	-1,599418909463076E-004	1,000000000000000E+000
1,1878259E-001	-1,462444656256218E-004	1,000000000000000E+000
1,1983820E-001	-1,279291472471459E-004	1,000000000000000E+000
1,2080127E-001	-1,236310746841286E-004	1,000000000000000E+000
1,2181106E-001	-1,149903055022992E-004	1,000000000000000E+000
1,2274333E-001	-1,100577236067693E-004	1,000000000000000E+000
1,2380091E-001	-9,719211200966832E-005	1,000000000000000E+000
1,2477565E-001	-9,353755768851213E-005	1,000000000000000E+000
1,2583111E-001	-9,019678980399680E-005	1,000000000000000E+000
1,2680842E-001	-7,701607563025418E-005	1,000000000000000E+000
1,2775725E-001	-6,195369546849525E-005	1,000000000000000E+000
1,2878084E-001	-6,150224223836008E-005	1,000000000000000E+000
1,2982780E-001	-5,509134528056256E-005	1,000000000000000E+000
1,3080786E-001	-4,658348549279409E-005	1,000000000000000E+000
1,3183889E-001	-4,526625094692966E-005	1,000000000000000E+000
1,3284972E-001	-4,235661687434865E-005	1,000000000000000E+000
1,3389865E-001	-3,281908994508823E-005	1,000000000000000E+000
1,3481623E-001	-1,349666128200035E-005	1,000000000000000E+000
1,3575806E-001	-1,285422382628118E-005	1,000000000000000E+000
1,3678059E-001	-1,041672355809486E-005	1,000000000000000E+000
1,3775535E-001	-4,888547525049318E-006	1,000000000000000E+000
1,3881080E-001	-4,160706721564198E-006	1,000000000000000E+000
1,3980995E-001	-3,515890847125271E-006	1,000000000000000E+000
1,4080064E-001	2,570543255473905E-006	1,000000000000000E+000
1,4182349E-001	2,332908899263140E-005	1,000000000000000E+000
1,4281280E-001	3,329841748552680E-005	1,000000000000000E+000
1,4382046E-001	3,024485757648841E-005	1,000000000000000E+000
1,4482601E-001	2,828864463845303E-005	1,000000000000000E+000
1,4573385E-001	3,786502446249832E-005	1,000000000000000E+000
1,4676808E-001	4,231949120251570E-005	1,000000000000000E+000
1,4776088E-001	3,845268695897776E-005	1,000000000000000E+000
1,4881822E-001	4,708546588029754E-005	1,000000000000000E+000
1,4984842E-001	6,112018187479713E-005	1,000000000000000E+000
1,5081680E-001	6,668799997858573E-005	1,000000000000000E+000
1,5180109E-001	6,531072759004912E-005	1,000000000000000E+000
1,5279283E-001	7,146693128107608E-005	1,000000000000000E+000
1,5376866E-001	6,558063476051702E-005	1,000000000000000E+000
1,5481773E-001	6,702932503225689E-005	1,000000000000000E+000
1,5578292E-001	6,971446251961410E-005	1,000000000000000E+000
1,5681966E-001	9,000429870490963E-005	1,000000000000000E+000
1,5779400E-001	9,318461130456389E-005	1,000000000000000E+000
1,5878044E-001	9,234808846951071E-005	1,000000000000000E+000
1,5978068E-001	1,008428288383846E-004	1,000000000000000E+000
1,6077454E-001	1,009149024220892E-004	1,000000000000000E+000
1,6178645E-001	1,052799957445491E-004	1,000000000000000E+000
1,6284935E-001	1,011042332607622E-004	1,000000000000000E+000
1,6372615E-001	1,068776505672301E-004	1,000000000000000E+000
1,6481689E-001	1,233398020265199E-004	1,000000000000000E+000
1,6576405E-001	1,250727388547909E-004	1,000000000000000E+000
1,6681841E-001	1,313233486614602E-004	1,000000000000000E+000
1,6781229E-001	1,302253634947630E-004	1,000000000000000E+000
1,6881040E-001	1,398951465772067E-004	1,000000000000000E+000
1,6977771E-001	1,432503932434934E-004	1,000000000000000E+000
1,7079601E-001	1,440351672955713E-004	1,000000000000000E+000
1,7178592E-001	1,644660516612657E-004	1,000000000000000E+000
1,7280814E-001	1,653196407710520E-004	1,000000000000000E+000
1,7382325E-001	1,751722610881845E-004	1,000000000000000E+000
1,7475763E-001	1,660191447296099E-004	1,000000000000000E+000
1,7572178E-001	1,708120519955021E-004	1,000000000000000E+000
1,7681968E-001	1,779822895031783E-004	1,000000000000000E+000
1,7774987E-001	1,827670591805232E-004	1,000000000000000E+000
1,7879015E-001	1,827435390781514E-004	1,000000000000000E+000
1,7980979E-001	1,928915371355814E-004	1,000000000000000E+000
1,8080154E-001	1,992963013887818E-004	1,000000000000000E+000
1,8180814E-001	1,954772788336865E-004	1,000000000000000E+000
1,8279138E-001	2,018560230990707E-004	1,000000000000000E+000
1,8378630E-001	2,061621765897645E-004	1,000000000000000E+000
1,8478547E-001	2,077178250855397E-004	1,000000000000000E+000
1,8582499E-001	2,064562252551553E-004	1,000000000000000E+000
1,8680228E-001	2,198855726197844E-004	1,000000000000000E+000
1,8778193E-001	2,283911245729627E-004	1,000000000000000E+000
1,8878961E-001	2,286829350741076E-004	1,000000000000000E+000
1,8980576E-001	2,336166847075995E-004	1,000000000000000E+000
1,9081236E-001	2,361854855230900E-004	1,000000000000000E+000
1,9178393E-001	2,358816434498153E-004	1,000000000000000E+000
1,9278628E-001	2,397047667243365E-004	1,000000000000000E+000
1,9384782E-001	2,496937297890101E-004	1,000000000000000E+000
1,9486108E-001	2,637737463699768E-004	1,000000000000000E+000
1,9581673E-001	2,629358562788804E-004	1,000000000000000E+000
1,9681270E-001	2,689108700302976E-004	1,000000000000000E+000
1,9776516E-001	2,778169863860691E-004	1,000000000000000E+000
1,9874416E-001	2,687128143223333E-004	1,000000000000000E+000
1,9978900E-001	2,742383273260859E-004	1,000000000000000E+000
2,0081683E-001	2,817717972026265E-004	1,000000000000000E+000
2,0181213E-001	3,002850640766094E-004	1,000000000000000E+000
2,0285551E-001	3,084177388853093E-004	1,000000000000000E+000
2,0379524E-001	3,058149065226956E-004	1,000000000000000E+000
2,0475511E-001	3,080038261708768E-004	1,000000000000000E+000
2,0578189E-001	3,113100047068117E-004	1,000000000000000E+000
2,0678319E-001	3,166290984496680E-004	1,000000000000000E+000
2,0779297E-001	3,206955343619498E-004	1,000000000000000E+000
2,0882905E-001	3,145019194862337E-004	1,000000000000000E+000
