Ewe/V	<I>/mA	cycle number	
9,8556193E-005	-4,921836853027344E-001	1,000000000000000E+000
5,2434590E-004	-2,441495084108751E-001	1,000000000000000E+000
1,5713003E-003	-1,402791626698636E-001	1,000000000000000E+000
2,5959564E-003	-1,078658292889421E-001	1,000000000000000E+000
3,5961904E-003	-8,994351559194036E-002	1,000000000000000E+000
4,5560757E-003	-7,797524264840461E-002	1,000000000000000E+000
5,5616186E-003	-6,925458532004125E-002	1,000000000000000E+000
6,5883985E-003	-6,243204460384266E-002	1,000000000000000E+000
7,4983784E-003	-5,700528328796201E-002	1,000000000000000E+000
8,4805610E-003	-5,256588659787764E-002	1,000000000000000E+000
9,5285783E-003	-4,881632096364297E-002	1,000000000000000E+000
1,0580841E-002	-4,559276892107733E-002	1,000000000000000E+000
1,1673454E-002	-4,247723160108879E-002	1,000000000000000E+000
1,2686430E-002	-4,007844888666412E-002	1,000000000000000E+000
1,3626141E-002	-3,783442837934795E-002	1,000000000000000E+000
1,4665662E-002	-3,579475278485689E-002	1,000000000000000E+000
1,5652092E-002	-3,402840732899511E-002	1,000000000000000E+000
1,6632153E-002	-3,239006226060837E-002	1,000000000000000E+000
1,7636634E-002	-3,091836643490797E-002	1,000000000000000E+000
1,8561477E-002	-2,957077589769830E-002	1,000000000000000E+000
1,9607373E-002	-2,836662588446759E-002	1,000000000000000E+000
2,0622471E-002	-2,718085665815423E-002	1,000000000000000E+000
2,1635447E-002	-2,610685979332900E-002	1,000000000000000E+000
2,2634622E-002	-2,510991052522737E-002	1,000000000000000E+000
2,3650192E-002	-2,418385941274159E-002	1,000000000000000E+000
2,4666943E-002	-2,334535124055972E-002	1,000000000000000E+000
2,5641693E-002	-2,252162780925257E-002	1,000000000000000E+000
2,6705636E-002	-2,180352691659193E-002	1,000000000000000E+000
2,7677201E-002	-2,109363107784187E-002	1,000000000000000E+000
2,8628590E-002	-2,037745095576132E-002	1,000000000000000E+000
2,9646877E-002	-1,973495097691508E-002	1,000000000000000E+000
3,0636493E-002	-1,911190938011290E-002	1,000000000000000E+000
3,1649806E-002	-1,852148080708688E-002	1,000000000000000E+000
3,2621033E-002	-1,795483594182179E-002	1,000000000000000E+000
3,3640381E-002	-1,740155886510775E-002	1,000000000000000E+000
3,4638491E-002	-1,689590165793345E-002	1,000000000000000E+000
3,5687566E-002	-1,639918013924069E-002	1,000000000000000E+000
3,6660194E-002	-1,593621872730294E-002	1,000000000000000E+000
3,7672110E-002	-1,553520488488337E-002	1,000000000000000E+000
3,8665976E-002	-1,510778008279118E-002	1,000000000000000E+000
3,9633587E-002	-1,472896240284455E-002	1,000000000000000E+000
4,0602736E-002	-1,434759358342744E-002	1,000000000000000E+000
4,1641198E-002	-1,398926712437948E-002	1,000000000000000E+000
4,2646736E-002	-1,362143379550056E-002	1,000000000000000E+000
4,3602370E-002	-1,329465700292856E-002	1,000000000000000E+000
4,4604734E-002	-1,295525581476140E-002	1,000000000000000E+000
4,5604974E-002	-1,266366757741288E-002	1,000000000000000E+000
4,6617948E-002	-1,234494820267518E-002	1,000000000000000E+000
4,7550153E-002	-1,205299152055977E-002	1,000000000000000E+000
4,8642833E-002	-1,177200727885935E-002	1,000000000000000E+000
4,9600594E-002	-1,148469210351560E-002	1,000000000000000E+000
5,0618883E-002	-1,124335647368740E-002	1,000000000000000E+000
5,1686008E-002	-1,097521332351017E-002	1,000000000000000E+000
5,2666064E-002	-1,072237566190024E-002	1,000000000000000E+000
5,3659931E-002	-1,050528046542245E-002	1,000000000000000E+000
5,4692023E-002	-1,028660481123581E-002	1,000000000000000E+000
5,5732500E-002	-1,004599031352776E-002	1,000000000000000E+000
5,6642585E-002	-9,848111041699054E-003	1,000000000000000E+000
5,7633258E-002	-9,627130158433528E-003	1,000000000000000E+000
