freq/Hz	Re(Z)/Ohm	-Im(Z)/Ohm	|Z|/Ohm	Phase(Z)/deg	Re(C)/nF	Im(C)/nF	|C|/nF	
1,9999814E+005	7,3081079E+000	-5,7903618E-001	7,3310113E+000	4,5301962E+000	-8,5737762E+000	1,0821098E+002	1,0855011E+002
1,5885727E+005	6,8315248E+000	-9,6977934E-002	6,8322129E+000	8,1329626E-001	-2,0814297E+000	1,4662497E+002	1,4663974E+002
1,2618765E+005	6,6710672E+000	1,8237112E-001	6,6735597E+000	-1,5659404E+000	5,1646914E+000	1,8892242E+002	1,8899301E+002
1,0022640E+005	6,6241350E+000	3,5033765E-001	6,6333928E+000	-3,0274420E+000	1,2643099E+001	2,3905385E+002	2,3938795E+002
7,9609563E+004	6,6309552E+000	4,5899534E-001	6,6468220E+000	-3,9597032E+000	2,0769924E+001	3,0005640E+002	3,0077438E+002
6,3233004E+004	6,6608143E+000	5,6932813E-001	6,6851015E+000	-4,8854399E+000	3,2064373E+001	3,7513504E+002	3,7650290E+002
5,0224539E+004	6,7068176E+000	6,8391359E-001	6,7415977E+000	-5,8224902E+000	4,7684746E+001	4,6762207E+002	4,7004706E+002
3,9897566E+004	6,7570691E+000	8,0773938E-001	6,8051763E+000	-6,8167849E+000	6,9577110E+001	5,8204065E+002	5,8618451E+002
3,1686090E+004	6,8068986E+000	9,7566068E-001	6,8764658E+000	-8,1568813E+000	1,0363818E+002	7,2305304E+002	7,3044275E+002
2,5172580E+004	6,8876224E+000	1,1407779E+000	6,9814553E+000	-9,4043684E+000	1,4797948E+002	8,9344910E+002	9,0562091E+002
1,9995176E+004	7,0081582E+000	1,3831205E+000	7,1433396E+000	-1,1164340E+001	2,1575069E+002	1,0931913E+003	1,1142781E+003
1,5884798E+004	7,1448984E+000	1,6629466E+000	7,3358684E+000	-1,3102104E+001	3,0960907E+002	1,3302445E+003	1,3657994E+003
1,2618766E+004	7,3146572E+000	1,9995682E+000	7,5830393E+000	-1,5289100E+001	4,3858411E+002	1,6043926E+003	1,6632593E+003
1,0020785E+004	7,5482192E+000	2,4018831E+000	7,9211526E+000	-1,7651342E+001	6,0798584E+002	1,9106719E+003	2,0050720E+003
7,9597607E+003	7,8260570E+000	2,8589053E+000	8,3318968E+000	-2,0067551E+001	8,2344037E+002	2,2541113E+003	2,3998066E+003
6,3238188E+003	8,2023935E+000	3,3883929E+000	8,8747091E+000	-2,2445425E+001	1,0827451E+003	2,6210364E+003	2,8358718E+003
5,0216069E+003	8,6936693E+000	3,9835598E+000	9,5628777E+000	-2,4617908E+001	1,3806116E+003	3,0130293E+003	3,3142773E+003
3,9861731E+003	9,3167019E+000	4,5961766E+000	1,0388733E+001	-2,6258350E+001	1,7003391E+003	3,4466802E+003	3,8432744E+003
3,1669595E+003	1,0079370E+001	5,2172980E+000	1,1349622E+001	-2,7367052E+001	2,0354503E+003	3,9323149E+003	4,4278843E+003
2,5158047E+003	1,1047101E+001	5,8228812E+000	1,2487769E+001	-2,7793530E+001	2,3621716E+003	4,4814834E+003	5,0659204E+003
1,9980818E+003	1,2228884E+001	6,3827596E+000	1,3794391E+001	-2,7561916E+001	2,6718391E+003	5,1190410E+003	5,7743662E+003
1,5884750E+003	1,3557363E+001	6,7759991E+000	1,5156393E+001	-2,6555983E+001	2,9554348E+003	5,9132090E+003	6,6106455E+003
1,2604036E+003	1,4995391E+001	6,9895425E+000	1,6544348E+001	-2,4990826E+001	3,2244824E+003	6,9178154E+003	7,6323950E+003
1,0016024E+003	1,6491667E+001	6,9446115E+000	1,7894209E+001	-2,2835873E+001	3,4462578E+003	8,1839751E+003	8,8799854E+003
7,9525409E+002	1,7923429E+001	6,6924672E+000	1,9132132E+001	-2,0475235E+001	3,6590957E+003	9,7996064E+003	1,0460462E+004
6,3181964E+002	1,9143044E+001	6,1953120E+000	2,0120586E+001	-1,7933270E+001	3,8548635E+003	1,1911232E+004	1,2519482E+004
5,0208865E+002	2,0252995E+001	5,6167068E+000	2,1017403E+001	-1,5500143E+001	4,0305422E+003	1,4533522E+004	1,5082061E+004
3,9859698E+002	2,1102367E+001	4,8749452E+000	2,1658140E+001	-1,3007938E+001	4,1496689E+003	1,7962842E+004	1,8435928E+004
3,1672299E+002	2,1792181E+001	4,1743970E+000	2,2188393E+001	-1,0843923E+001	4,2607173E+003	2,2242805E+004	2,2647209E+004
