freq/Hz	Re(Z)/Ohm	-Im(Z)/Ohm	|Z|/Ohm	Phase(Z)/deg	<Ewe>/V	Re(C)/nF	Im(C)/nF	|C|/nF	
1,9999814E+005	6,9606619E+000	-4,9833262E-001	6,9784775E+000	4,0949731E+000	6,9980103E-001	-8,1431398E+000	1,1374265E+002	1,1403378E+002
1,5885727E+005	6,6355343E+000	-1,7726117E-001	6,6379013E+000	1,5302314E+000	6,9982857E-001	-4,0305476E+000	1,5087849E+002	1,5093233E+002
1,2618765E+005	6,5192914E+000	1,3640491E-002	6,5193057E+000	-1,1988135E-001	6,9985217E-001	4,0478852E-001	1,9346437E+002	1,9346480E+002
1,0022640E+005	6,4942646E+000	1,1772064E-001	6,4953313E+000	-1,0384791E+000	6,9987673E-001	4,4308758E+000	2,4443611E+002	2,4447627E+002
7,9609563E+004	6,4987202E+000	1,6625407E-001	6,5008464E+000	-1,4654547E+000	6,9987822E-001	7,8647919E+000	3,0742764E+002	3,0752823E+002
6,3233004E+004	6,5272665E+000	2,1797496E-001	6,5309052E+000	-1,9126544E+000	6,9989258E-001	1,2862796E+001	3,8517749E+002	3,8539221E+002
5,0224539E+004	6,5587168E+000	2,6051661E-001	6,5638885E+000	-2,2746310E+000	6,9989145E-001	1,9160929E+001	4,8239258E+002	4,8277298E+002
3,9897566E+004	6,5987191E+000	3,0341327E-001	6,6056910E+000	-2,6326418E+000	6,9989866E-001	2,7737816E+001	6,0324933E+002	6,0388672E+002
3,1686090E+004	6,6534495E+000	3,4541842E-001	6,6624098E+000	-2,9718819E+000	6,9990432E-001	3,9087124E+001	7,5289716E+002	7,5391107E+002
2,5172580E+004	6,7117825E+000	4,0371686E-001	6,7239132E+000	-3,4422207E+000	6,9989651E-001	5,6457981E+001	9,3861194E+002	9,4030841E+002
1,9995176E+004	6,7834044E+000	4,6309900E-001	6,7991939E+000	-3,9054890E+000	6,9989920E-001	7,9735863E+001	1,1679595E+003	1,1706781E+003
1,5884798E+004	6,8515854E+000	5,2651775E-001	6,8717861E+000	-4,3943219E+000	6,9990879E-001	1,1171526E+002	1,4537517E+003	1,4580378E+003
1,2618766E+004	6,9309554E+000	6,1144459E-001	6,9578738E+000	-5,0415463E+000	6,9990993E-001	1,5929698E+002	1,8056902E+003	1,8127031E+003
1,0020785E+004	7,0274963E+000	7,0285141E-001	7,0625567E+000	-5,7114143E+000	6,9989270E-001	2,2379878E+002	2,2376653E+003	2,2488291E+003
7,9597607E+003	7,1254430E+000	8,1959558E-001	7,1724248E+000	-6,5615425E+000	6,9990015E-001	3,1855725E+002	2,7694912E+003	2,7877520E+003
6,3238188E+003	7,2561264E+000	9,5754111E-001	7,3190336E+000	-7,5174942E+000	6,9992137E-001	4,4987378E+002	3,4090869E+003	3,4386421E+003
5,0216069E+003	7,3989062E+000	1,1142886E+000	7,4823427E+000	-8,5644846E+000	6,9999760E-001	6,3081189E+002	4,1886084E+003	4,2358428E+003
3,9861731E+003	7,5729604E+000	1,2979363E+000	7,6833825E+000	-9,7254810E+000	6,9998813E-001	8,7783405E+002	5,1218252E+003	5,1965073E+003
3,1669595E+003	7,7808509E+000	1,5093803E+000	7,9258986E+000	-1,0978259E+001	6,9999456E-001	1,2074779E+003	6,2245464E+003	6,3405820E+003
2,5158047E+003	8,0505581E+000	1,7234098E+000	8,2329597E+000	-1,2083122E+001	6,9999146E-001	1,6084954E+003	7,5137588E+003	7,6839980E+003
1,9980818E+003	8,3644323E+000	1,9711305E+000	8,5935488E+000	-1,3260177E+001	7,0000052E-001	2,1260679E+003	9,0219043E+003	9,2690303E+003
1,5884750E+003	8,7946005E+000	2,2036154E+000	9,0664721E+000	-1,4066686E+001	6,9999522E-001	2,6859568E+003	1,0719615E+004	1,1050996E+004
1,2604036E+003	9,2383823E+000	2,4198580E+000	9,5500479E+000	-1,4678029E+001	6,9999146E-001	3,3503438E+003	1,2790729E+004	1,3222237E+004
1,0016024E+003	9,7604284E+000	2,5801730E+000	1,0095705E+001	-1,4807444E+001	7,0000261E-001	4,0225388E+003	1,5216695E+004	1,5739397E+004
7,9525409E+002	1,0351832E+001	2,6544085E+000	1,0686735E+001	-1,4381875E+001	6,9999391E-001	4,6514873E+003	1,8140170E+004	1,8727041E+004
6,3181964E+002	1,0951478E+001	2,6797659E+000	1,1274574E+001	-1,3749784E+001	6,9999415E-001	5,3103564E+003	2,1701984E+004	2,2342248E+004
5,0208865E+002	1,1513908E+001	2,6016631E+000	1,1804183E+001	-1,2732634E+001	6,9999605E-001	5,9186001E+003	2,6193326E+004	2,6853680E+004
3,9859698E+002	1,2050221E+001	2,4555793E+000	1,2297874E+001	-1,1517960E+001	7,0002073E-001	6,4830591E+003	3,1814205E+004	3,2468041E+004
3,1672299E+002	1,2530582E+001	2,2690368E+000	1,2734364E+001	-1,0263895E+001	6,9998819E-001	7,0311680E+003	3,8829094E+004	3,9460563E+004
2,5169135E+002	1,2942333E+001	2,0715549E+000	1,3107072E+001	-9,0936508E+000	6,9999748E-001	7,6249487E+003	4,7637949E+004	4,8244316E+004
1,9980818E+002	1,3315261E+001	1,8320765E+000	1,3440710E+001	-7,8342628E+000	7,0000058E-001	8,0780371E+003	5,8710008E+004	5,9263141E+004
1,5862943E+002	1,3606846E+001	1,6196309E+000	1,3702900E+001	-6,7880130E+000	6,9998997E-001	8,6542070E+003	7,2705773E+004	7,3219016E+004
1,2600809E+002	1,3858752E+001	1,4105181E+000	1,3930347E+001	-5,8114462E+000	6,9999313E-001	9,1807148E+003	9,0203203E+004	9,0669195E+004
1,0016024E+002	1,4080549E+001	1,2235785E+000	1,4133613E+001	-4,9664407E+000	6,9999570E-001	9,7330742E+003	1,1200515E+005	1,1242725E+005
7,9516548E+001	1,4253837E+001	1,0597353E+000	1,4293177E+001	-4,2519679E+000	6,9999444E-001	1,0382514E+004	1,3964869E+005	1,4003411E+005
6,3160763E+001	1,4354060E+001	9,1593528E-001	1,4383253E+001	-3,6511045E+000	6,9999051E-001	1,1156390E+004	1,7483697E+005	1,7519255E+005
5,0208866E+001	1,4489940E+001	7,8632337E-001	1,4511260E+001	-3,1062148E+000	6,9999790E-001	1,1836707E+004	2,1812028E+005	2,1844122E+005
3,9859695E+001	1,4598301E+001	6,7200714E-001	1,4613760E+001	-2,6356499E+000	6,9998097E-001	1,2564240E+004	2,7293834E+005	2,7322738E+005
3,1672298E+001	1,4679911E+001	5,7423258E-001	1,4691137E+001	-2,2400911E+000	6,9998765E-001	1,3369563E+004	3,4178509E+005	3,4204647E+005
2,5136747E+001	1,4807667E+001	5,2148283E-001	1,4816847E+001	-2,0169566E+000	6,9999880E-001	1,5039738E+004	4,2705728E+005	4,2732203E+005
1,9980818E+001	1,4899884E+001	4,0762562E-001	1,4905459E+001	-1,5670861E+000	6,9998819E-001	1,4614276E+004	5,3419400E+005	5,3439388E+005
1,5857577E+001	1,5045424E+001	3,6645210E-001	1,5049887E+001	-1,3952420E+000	6,9999272E-001	1,6238044E+004	6,6668594E+005	6,6688369E+005
1,2600809E+001	1,5132964E+001	3,5938671E-001	1,5137231E+001	-1,3604388E+000	6,9995016E-001	1,9810242E+004	8,3416669E+005	8,3440188E+005
1,0016025E+001	1,5218964E+001	2,4764206E-001	1,5220979E+001	-9,3223119E-001	7,0000631E-001	1,6984883E+004	1,0438178E+006	1,0439559E+006
7,9557004E+000	1,5314548E+001	2,6243627E-001	1,5316797E+001	-9,8174751E-001	6,9995433E-001	2,2378500E+004	1,3059001E+006	1,3060919E+006
6,3105812E+000	1,5273612E+001	1,3680550E-001	1,5274224E+001	-5,1318371E-001	6,9991750E-001	1,4788901E+004	1,6511030E+006	1,6511693E+006
5,0144420E+000	1,5371734E+001	2,6271087E-001	1,5373979E+001	-9,7911912E-001	7,0000327E-001	3,5277895E+004	2,0641814E+006	2,0644828E+006
3,9859698E+000	1,5372184E+001	4,7067635E-002	1,5372256E+001	-1,7543170E-001	6,9995332E-001	7,9529780E+003	2,5974455E+006	2,5974578E+006
3,1655185E+000	1,5438313E+001	1,3825887E-001	1,5438931E+001	-5,1310259E-001	6,9995368E-001	2,9162943E+004	3,2564218E+006	3,2565523E+006
2,5136747E+000	1,5818173E+001	2,0429388E-001	1,5819492E+001	-7,3994172E-001	6,9995785E-001	5,1687188E+004	4,0020478E+006	4,0023815E+006
1,9970603E+000	1,5862194E+001	2,2457568E-001	1,5863784E+001	-8,1113493E-001	6,9997507E-001	7,1117719E+004	5,0231790E+006	5,0236825E+006
1,5846856E+000	1,5970598E+001	3,7843117E-001	1,5975081E+001	-1,3573977E+000	6,9997305E-001	1,4892864E+005	6,2850985E+006	6,2868625E+006
1,2596742E+000	1,5732860E+001	3,5620490E-003	1,5732860E+001	-1,2972237E-002	6,9998020E-001	1,8179026E+003	8,0307155E+006	8,0307155E+006
1,0000639E+000	1,5638408E+001	2,5347266E-001	1,5640462E+001	-9,2858821E-001	6,9998032E-001	1,6490150E+005	1,0173860E+007	1,0175196E+007
7,9882401E-001	1,6954165E+001	-1,4206021E-001	1,6954760E+001	4,8007435E-001	6,9994336E-001	-9,8459148E+004	1,1750657E+007	1,1751069E+007
6,2907392E-001	1,7355894E+001	4,5342162E-001	1,7361816E+001	-1,4965081E+000	6,9994336E-001	3,8056572E+005	1,4567169E+007	1,4572139E+007
4,9926502E-001	1,7696516E+001	-3,0621308E-001	1,7699165E+001	9,9132317E-001	6,9994336E-001	-3,1160766E+005	1,8008236E+007	1,8010932E+007
3,9941201E-001	1,7668968E+001	-1,3323896E-001	1,7669470E+001	4,3205044E-001	6,9994336E-001	-1,7005344E+005	2,2550862E+007	2,2551504E+007
3,1952962E-001	1,6878534E+001	7,3234797E-001	1,6894415E+001	-2,4844658E+000	6,9994336E-001	1,2780276E+006	2,9454890E+007	2,9482604E+007
2,4963251E-001	1,6712502E+001	-1,2127541E-002	1,6712505E+001	4,1577067E-002	6,9994336E-001	-2,7684795E+004	3,8148484E+007	3,8148496E+007
1,9970600E-001	1,7983408E+001	1,4299384E+000	1,8040169E+001	-4,5462694E+000	6,9994336E-001	3,5015908E+006	4,4037208E+007	4,4176204E+007
1,5976481E-001	1,6322271E+001	-7,2594106E-001	1,6338408E+001	2,5465796E+000	6,9994336E-001	-2,7090720E+006	6,0911624E+007	6,0971836E+007
1,2980890E-001	1,7162613E+001	-4,5192245E-001	1,7168562E+001	1,5083523E+000	6,9994336E-001	-1,8798028E+006	7,1388992E+007	7,1413736E+007
9,9853002E-002	1,8665813E+001	1,2227044E+000	1,8705816E+001	-3,7478068E+000	6,9994336E-001	5,5696455E+006	8,5026160E+007	8,5208384E+007
7,9882406E-002	1,6724890E+001	1,6169552E+000	1,6802872E+001	-5,5221686E+000	6,9994336E-001	1,1410381E+007	1,1802262E+008	1,1857292E+008
5,9911802E-002	1,5893237E+001	1,2110512E+000	1,5939311E+001	-4,3574696E+000	6,9994336E-001	1,2662837E+007	1,6618088E+008	1,6666262E+008
4,9926501E-002	1,5856507E+001	-3,3323377E-001	1,5860008E+001	1,2039272E+000	6,9994336E-001	-4,2230950E+006	2,0095080E+008	2,0099517E+008
3,9941203E-002	1,6838726E+001	8,9990866E-001	1,6862755E+001	-3,0591366E+000	6,9994336E-001	1,2610728E+007	2,3596693E+008	2,3630366E+008
2,9955901E-002	1,7150579E+001	1,4818695E+000	1,7214479E+001	-4,9382892E+000	6,9994336E-001	2,6568044E+007	3,0748838E+008	3,0863405E+008
1,9970601E-002	1,6358967E+001	4,3959340E-001	1,6364872E+001	-1,5392650E+000	6,9994336E-001	1,3081451E+007	4,8681018E+008	4,8698592E+008
9,9853007E-003	1,7708471E+001	-1,3131149E+000	1,7757090E+001	4,2408233E+000	6,9994336E-001	-6,6377056E+007	8,9515142E+008	8,9760902E+008
