time/s	<Ewe/V>	I/mA	
1,005239974605502E+001	4,7021741E-001	1,9076359E+000
1,015239974352880E+001	7,1000582E-001	1,9972322E+000
1,025239974100259E+001	7,1930808E-001	2,0004094E+000
1,035239973847638E+001	7,1967685E-001	1,9965969E+000
1,045239973595017E+001	7,2045076E-001	1,9902425E+000
1,055239973342395E+001	7,2087818E-001	1,9991385E+000
1,065239973089774E+001	7,2108531E-001	2,0004094E+000
1,075239972837153E+001	7,2121114E-001	2,0016801E+000
1,085239972584532E+001	7,1661204E-001	2,0029511E+000
1,095239972331910E+001	7,1575832E-001	1,9997739E+000
1,105239972079289E+001	7,1523499E-001	1,9908779E+000
1,115239971826668E+001	7,1532559E-001	1,9934196E+000
1,125239971574047E+001	7,1520281E-001	1,9896070E+000
1,135239971321425E+001	7,1459895E-001	1,9940550E+000
1,145239971068804E+001	7,1423113E-001	1,9965969E+000
1,155239970816183E+001	7,1437281E-001	1,9972322E+000
1,165239970563562E+001	7,1448010E-001	1,9972322E+000
1,175239970310940E+001	7,1360439E-001	1,9997739E+000
1,185239970058319E+001	7,1382886E-001	1,9953259E+000
1,195239969805698E+001	7,1343583E-001	2,0048575E+000
1,205239969553077E+001	7,1322626E-001	2,0061283E+000
1,215239969300455E+001	7,1322393E-001	2,0035865E+000
1,225239969047834E+001	7,1336418E-001	1,9934196E+000
1,235239968795213E+001	7,1291739E-001	1,9959613E+000
1,245239968542592E+001	7,1280682E-001	1,9953259E+000
1,255239968289970E+001	7,1303028E-001	1,9946904E+000
1,265239968037349E+001	7,1292597E-001	1,9959613E+000
1,275239967784728E+001	7,1282917E-001	1,9959613E+000
1,285239967532107E+001	7,1270347E-001	2,0067637E+000
1,295239967279485E+001	7,1263427E-001	1,9985032E+000
1,305239967026864E+001	7,1286279E-001	2,0048575E+000
1,315239966774243E+001	7,1251291E-001	2,0093055E+000
1,325239966521622E+001	7,1231747E-001	1,9953259E+000
1,335239966269000E+001	7,1215796E-001	1,9934196E+000
1,345239966016379E+001	7,1229941E-001	1,9978676E+000
1,355239965763758E+001	7,1207893E-001	1,9965969E+000
1,365239965511137E+001	7,1210915E-001	2,0023158E+000
1,375239965258515E+001	7,1222597E-001	1,9972322E+000
1,385239965005894E+001	7,1197337E-001	2,0035865E+000
1,395239964753273E+001	7,1175867E-001	1,9959613E+000
1,405239964500652E+001	7,1180773E-001	1,9978676E+000
1,415239964248030E+001	7,1189672E-001	1,9934196E+000
1,425239963995409E+001	7,1167266E-001	1,9921488E+000
1,435239963742788E+001	7,1136975E-001	1,9940550E+000
1,445239963490167E+001	7,1167022E-001	2,0004094E+000
1,455239963237545E+001	7,1185553E-001	1,9959613E+000
1,465239962984924E+001	7,1148580E-001	1,9927841E+000
1,475239962732303E+001	7,1142215E-001	1,9997739E+000
1,485239962479682E+001	7,1133214E-001	1,9927841E+000
1,495239962227060E+001	7,1153539E-001	1,9965969E+000
1,505239961974439E+001	7,1127927E-001	1,9877007E+000
1,515239961721818E+001	7,1124697E-001	1,9889716E+000
1,525239961469197E+001	7,1111202E-001	1,9940550E+000
1,535239961216575E+001	7,1136320E-001	1,9864298E+000
1,545239960963954E+001	7,1136272E-001	1,9940550E+000
1,555239960711333E+001	7,1121758E-001	1,9953259E+000
