time/s	<Ewe/V>	I/mA	
1,005239974605502E+001	4,6201798E-001	1,9076359E+000
1,015239974352880E+001	6,8392193E-001	2,0112119E+000
1,025239974100259E+001	6,9093037E-001	2,0124826E+000
1,035239973847638E+001	6,9096905E-001	2,0054927E+000
1,045239973595017E+001	6,9106513E-001	2,0118473E+000
1,055239973342395E+001	6,9104028E-001	2,0150244E+000
1,065239973089774E+001	6,9077742E-001	2,0048575E+000
1,075239972837153E+001	6,9071960E-001	2,0061283E+000
1,085239972584532E+001	6,9060957E-001	1,9997739E+000
1,095239972331910E+001	6,9040865E-001	2,0105762E+000
1,105239972079289E+001	6,9020247E-001	2,0035865E+000
1,115239971826668E+001	6,9023240E-001	1,9972322E+000
1,125239971574047E+001	6,9003677E-001	2,0048575E+000
1,135239971321425E+001	6,8989825E-001	2,0042222E+000
1,145239971068804E+001	6,8982458E-001	2,0029511E+000
1,155239970816183E+001	6,8976033E-001	1,9965969E+000
1,165239970563562E+001	6,8965042E-001	2,0137534E+000
1,175239970310940E+001	6,8956101E-001	2,0080347E+000
1,185239970058319E+001	6,8937719E-001	1,9991385E+000
1,195239969805698E+001	6,8928015E-001	2,0029511E+000
1,205239969553077E+001	6,8914711E-001	2,0105762E+000
1,215239969300455E+001	6,8902135E-001	2,0201077E+000
1,225239969047834E+001	6,8897814E-001	2,0054927E+000
1,235239968795213E+001	6,8899059E-001	2,0118473E+000
1,245239968542592E+001	6,8880767E-001	2,0099409E+000
1,255239968289970E+001	6,8877608E-001	2,0048575E+000
1,265239968037349E+001	6,8877846E-001	2,0073991E+000
1,275239967784728E+001	6,8858939E-001	1,9953259E+000
1,285239967532107E+001	6,8848628E-001	2,0080347E+000
1,295239967279485E+001	6,8854755E-001	2,0004094E+000
1,305239967026864E+001	6,8835920E-001	2,0035865E+000
1,315239966774243E+001	6,8831801E-001	2,0029511E+000
1,325239966521622E+001	6,8827373E-001	2,0073991E+000
1,335239966269000E+001	6,8827325E-001	2,0093055E+000
1,345239966016379E+001	6,8812698E-001	2,0048575E+000
1,355239965763758E+001	6,8806124E-001	2,0048575E+000
1,365239965511137E+001	6,8796670E-001	2,0048575E+000
1,375239965258515E+001	6,8804020E-001	2,0067637E+000
1,385239965005894E+001	6,8788368E-001	1,9972322E+000
1,395239964753273E+001	6,8788749E-001	2,0048575E+000
1,405239964500652E+001	6,8782425E-001	1,9965969E+000
1,415239964248030E+001	6,8780100E-001	2,0035865E+000
1,425239963995409E+001	6,8778116E-001	1,9991385E+000
1,435239963742788E+001	6,8770719E-001	2,0162952E+000
1,445239963490167E+001	6,8755919E-001	2,0093055E+000
1,455239963237545E+001	6,8751806E-001	2,0010448E+000
1,465239962984924E+001	6,8753266E-001	2,0061283E+000
1,475239962732303E+001	6,8756610E-001	2,0067637E+000
1,485239962479682E+001	6,8755174E-001	2,0067637E+000
1,495239962227060E+001	6,8742031E-001	2,0080347E+000
1,505239961974439E+001	6,8722534E-001	2,0054927E+000
1,515239961721818E+001	6,8737292E-001	2,0073991E+000
1,525239961469197E+001	6,8722343E-001	1,9997739E+000
1,535239961216575E+001	6,8733180E-001	2,0023158E+000
1,545239960963954E+001	6,8724251E-001	2,0054927E+000
1,555239960711333E+001	6,8718010E-001	2,0073991E+000
1,565239960458712E+001	6,8712813E-001	2,0118473E+000
1,575239960206090E+001	6,8710989E-001	2,0029511E+000
1,585239959953469E+001	6,8711668E-001	2,0029511E+000
1,595239959700848E+001	6,8710208E-001	2,0016801E+000
1,605239959448227E+001	6,8687499E-001	2,0112119E+000
1,615239959195605E+001	6,8699169E-001	1,9978676E+000
1,625239958942984E+001	6,8703187E-001	2,0004094E+000
1,635239958690363E+001	6,8673003E-001	2,0054927E+000
1,645239958437742E+001	6,8676633E-001	2,0016801E+000
1,655239958185120E+001	6,8681419E-001	2,0016801E+000
1,665239957932499E+001	6,8669206E-001	2,0023158E+000
1,675239957679878E+001	6,8674821E-001	2,0023158E+000
1,685239957427257E+001	6,8674749E-001	2,0067637E+000
1,695239957174635E+001	6,8667257E-001	2,0029511E+000
1,705239956922014E+001	6,8657535E-001	2,0099409E+000
1,715239956669393E+001	6,8673629E-001	1,9978676E+000
1,725239956416772E+001	6,8650454E-001	2,0067637E+000
1,735239956164151E+001	6,8650115E-001	2,0143890E+000
1,745239955911529E+001	6,8647802E-001	2,0073991E+000
1,755239955658908E+001	6,8656641E-001	2,0048575E+000
1,765239955406287E+001	6,8647230E-001	2,0061283E+000
1,775239955153666E+001	6,8645912E-001	2,0054927E+000
1,785239954901044E+001	6,8641746E-001	1,9985032E+000
1,795239954648423E+001	6,8636853E-001	2,0029511E+000
1,805239954395802E+001	6,8631923E-001	2,0016801E+000
1,815239954143181E+001	6,8626070E-001	2,0073991E+000
1,825239953890559E+001	6,8641853E-001	2,0067637E+000
1,835239953637938E+001	6,8630368E-001	2,0016801E+000
1,845239953385317E+001	6,8629551E-001	2,0061283E+000
1,855239953132696E+001	6,8622065E-001	2,0048575E+000
1,865239952880074E+001	6,8618894E-001	2,0054927E+000
1,875239952627453E+001	6,8622833E-001	2,0004094E+000
1,885239952374832E+001	6,8620884E-001	1,9991385E+000
1,895239952122211E+001	6,8612677E-001	2,0073991E+000
1,905239951869589E+001	6,8604499E-001	1,9978676E+000
1,915239951616968E+001	6,8601096E-001	2,0093055E+000
1,925239951364347E+001	6,8609816E-001	2,0048575E+000
1,935239951111726E+001	6,8604106E-001	2,0105762E+000
1,945239950859104E+001	6,8598813E-001	2,0073991E+000
1,955239950606483E+001	6,8594080E-001	2,0042222E+000
1,965239950353862E+001	6,8605882E-001	2,0061283E+000
1,975239950101241E+001	6,8598229E-001	2,0086701E+000
1,985239949848619E+001	6,8596715E-001	1,9978676E+000
1,995239949595998E+001	6,8594652E-001	2,0035865E+000
2,005239949343377E+001	6,8582195E-001	2,0080347E+000
2,015239949090756E+001	6,8594009E-001	2,0029511E+000
2,025239948838134E+001	6,8584603E-001	2,0175662E+000
2,035239948585513E+001	6,8591064E-001	2,0061283E+000
2,045239948332892E+001	6,8581927E-001	1,9991385E+000
2,055239948080271E+001	6,8590242E-001	2,0099409E+000
2,065239947827649E+001	6,8584478E-001	2,0042222E+000
2,075239947575028E+001	6,8578738E-001	2,0029511E+000
2,085239947322407E+001	6,8584967E-001	2,0029511E+000
2,095239947069786E+001	6,8584675E-001	2,0086701E+000
2,105239946817164E+001	6,8573099E-001	2,0086701E+000
2,115239946564543E+001	6,8578601E-001	2,0054927E+000
2,125239946311922E+001	6,8572134E-001	2,0061283E+000
2,135239946059301E+001	6,8552637E-001	2,0042222E+000
2,145239945806679E+001	6,8575901E-001	2,0016801E+000
2,155239945554058E+001	6,8561369E-001	2,0061283E+000
2,165239945301437E+001	6,8569589E-001	2,0080347E+000
2,175239945048816E+001	6,8554688E-001	2,0023158E+000
2,185239944796194E+001	6,8563050E-001	2,0004094E+000
2,195239944543573E+001	6,8569118E-001	1,9978676E+000
2,205239944290952E+001	6,8560481E-001	2,0073991E+000
2,215239944038331E+001	6,8566656E-001	2,0016801E+000
2,225239943785709E+001	6,8539941E-001	1,9997739E+000
2,235239943533088E+001	6,8565774E-001	2,0035865E+000
2,245239943280467E+001	6,8543303E-001	2,0029511E+000
2,255239943027846E+001	6,8562293E-001	1,9915133E+000
2,265239942775224E+001	6,8554127E-001	1,9997739E+000
2,275239942522603E+001	6,8553871E-001	2,0023158E+000
2,285239942269982E+001	6,8537247E-001	2,0054927E+000
2,295239942017361E+001	6,8540710E-001	2,0035865E+000
2,305239941764739E+001	6,8548071E-001	2,0112119E+000
2,315239941512118E+001	6,8551457E-001	2,0143890E+000
2,325239941259497E+001	6,8535584E-001	2,0112119E+000
2,335239941006876E+001	6,8541515E-001	2,0054927E+000
2,345239940754254E+001	6,8542224E-001	2,0073991E+000
