Ewe/V	<I>/mA	cycle number	
-1,2680044E-005	-1,947818398475647E-001	1,000000000000000E+000
6,4989546E-004	-9,673094554105210E-002	1,000000000000000E+000
1,6214605E-003	-5,449204656713602E-002	1,000000000000000E+000
2,8093185E-003	-4,113478385044123E-002	1,000000000000000E+000
3,7535946E-003	-3,392934677446602E-002	1,000000000000000E+000
4,7909925E-003	-2,945102327988985E-002	1,000000000000000E+000
5,8018453E-003	-2,620447736815285E-002	1,000000000000000E+000
6,7309369E-003	-2,371568682465203E-002	1,000000000000000E+000
7,7375425E-003	-2,169852101129463E-002	1,000000000000000E+000
8,7876823E-003	-2,006230829877545E-002	1,000000000000000E+000
9,7433198E-003	-1,867047533519087E-002	1,000000000000000E+000
1,0821068E-002	-1,748315378658732E-002	1,000000000000000E+000
1,1779890E-002	-1,643250563882542E-002	1,000000000000000E+000
1,2747209E-002	-1,550368314448960E-002	1,000000000000000E+000
1,3754875E-002	-1,470124962224362E-002	1,000000000000000E+000
1,4793335E-002	-1,397985082870459E-002	1,000000000000000E+000
1,5786136E-002	-1,332435152776398E-002	1,000000000000000E+000
1,6770443E-002	-1,273678234594083E-002	1,000000000000000E+000
1,7783418E-002	-1,219120532502059E-002	1,000000000000000E+000
1,8748613E-002	-1,168490530279687E-002	1,000000000000000E+000
1,9728633E-002	-1,118797282821943E-002	1,000000000000000E+000
2,0716166E-002	-1,076182426753834E-002	1,000000000000000E+000
2,1754626E-002	-1,036086789647260E-002	1,000000000000000E+000
2,2744242E-002	-9,995968210473397E-003	1,000000000000000E+000
2,3762524E-002	-9,658383387283476E-003	1,000000000000000E+000
2,4729842E-002	-9,319147810272863E-003	1,000000000000000E+000
2,5782108E-002	-9,024720411835316E-003	1,000000000000000E+000
2,6732437E-002	-8,732418258053543E-003	1,000000000000000E+000
2,7847348E-002	-8,471865894229630E-003	1,000000000000000E+000
2,8755203E-002	-8,206587501399243E-003	1,000000000000000E+000
2,9768180E-002	-7,971520835859530E-003	1,000000000000000E+000
3,0768903E-002	-7,717674825112070E-003	1,000000000000000E+000
3,1778205E-002	-7,505171610356076E-003	1,000000000000000E+000
3,2758262E-002	-7,287170567780457E-003	1,000000000000000E+000
3,3758495E-002	-7,087068793471041E-003	1,000000000000000E+000
3,4789521E-002	-6,908313500657459E-003	1,000000000000000E+000
3,5798255E-002	-6,728336864146839E-003	1,000000000000000E+000
3,6765572E-002	-6,541514900724701E-003	1,000000000000000E+000
3,7710592E-002	-6,374809998227489E-003	1,000000000000000E+000
3,8749050E-002	-6,217686180856871E-003	1,000000000000000E+000
3,9786451E-002	-6,063605943775779E-003	1,000000000000000E+000
4,0764205E-002	-5,924180276645277E-003	1,000000000000000E+000
4,1820899E-002	-5,771193532376123E-003	1,000000000000000E+000
4,2731937E-002	-5,632525082864243E-003	1,000000000000000E+000
4,3723676E-002	-5,503325021616934E-003	1,000000000000000E+000
4,4753641E-002	-5,389183264165258E-003	1,000000000000000E+000
4,5761306E-002	-5,256998316508110E-003	1,000000000000000E+000
4,6791278E-002	-5,141673695506985E-003	1,000000000000000E+000
4,7796816E-002	-5,034623571376920E-003	1,000000000000000E+000
4,8714232E-002	-4,926604616731299E-003	1,000000000000000E+000
4,9748335E-002	-4,909952536489043E-003	1,000000000000000E+000
5,0832558E-002	-4,805172724107361E-003	1,000000000000000E+000
5,1834229E-002	-4,693772319813591E-003	1,000000000000000E+000
5,2882932E-002	-4,594829042600265E-003	1,000000000000000E+000
5,3912900E-002	-4,514017472198859E-003	1,000000000000000E+000
5,4865353E-002	-4,434445904349524E-003	1,000000000000000E+000
5,5897444E-002	-4,344726067709276E-003	1,000000000000000E+000
5,6802116E-002	-4,279480159897486E-003	1,000000000000000E+000
5,7820391E-002	-4,203940132583212E-003	1,000000000000000E+000
5,8876909E-002	-4,118917976366652E-003	1,000000000000000E+000
5,9861213E-002	-4,046078689188881E-003	1,000000000000000E+000
6,0861450E-002	-3,984920700882391E-003	1,000000000000000E+000
6,1795771E-002	-3,927824139573970E-003	1,000000000000000E+000
6,2866166E-002	-3,825159543067155E-003	1,000000000000000E+000
6,3827112E-002	-3,770481994641677E-003	1,000000000000000E+000
6,4854950E-002	-3,699604396775885E-003	1,000000000000000E+000
6,5861560E-002	-3,647155817936001E-003	1,000000000000000E+000
6,6888332E-002	-3,592767387985196E-003	1,000000000000000E+000
6,7841843E-002	-3,533301308130482E-003	1,000000000000000E+000
6,8855889E-002	-3,481289928648601E-003	1,000000000000000E+000
6,9804087E-002	-3,434532100807032E-003	1,000000000000000E+000
7,0817068E-002	-3,380440479539629E-003	1,000000000000000E+000
7,1808815E-002	-3,322571640008737E-003	1,000000000000000E+000
