Ewe/V	<I>/mA	
5,0404209E-001	0,000000000000000E+000
5,0035685E-001	0,000000000000000E+000
6,3660242E-002	-1,493352746476933E+000
6,4233057E-002	-9,027962379427876E-001
6,5222800E-002	-5,863989667371428E-001
6,6343896E-002	-4,583007586117098E-001
6,7416571E-002	-3,842219802278546E-001
6,8465725E-002	-3,378488068593466E-001
6,9435306E-002	-3,028875032034350E-001
7,0432477E-002	-2,753953031684503E-001
7,1424350E-002	-2,532828362455879E-001
7,2455466E-002	-2,348797639806559E-001
7,3485516E-002	-2,193485967278517E-001
7,4421152E-002	-2,061344290050831E-001
7,5452179E-002	-1,945638386468562E-001
7,6430343E-002	-1,843537489214144E-001
7,7449799E-002	-1,752063431534197E-001
7,8469239E-002	-1,669978967998724E-001
7,9490803E-002	-1,594924819951378E-001
8,0477364E-002	-1,528643683864063E-001
8,1463926E-002	-1,468830262532538E-001
8,2457915E-002	-1,412377533885114E-001
8,3446600E-002	-1,360342250693418E-001
8,4455438E-002	-1,313054130461209E-001
8,5471697E-002	-1,269400300755843E-001
8,6459324E-002	-1,229094862346613E-001
8,7490439E-002	-1,190878172888676E-001
8,8449411E-002	-1,154806020325409E-001
8,9488283E-002	-1,120802868692532E-001
9,0469211E-002	-1,089727486169088E-001
9,1461085E-002	-1,060244765802123E-001
9,2473097E-002	-1,031441869849843E-001
9,3492545E-002	-1,005131992576916E-001
9,4484411E-002	-9,804761758107960E-002
9,5479459E-002	-9,576121455136555E-002
9,6445866E-002	-9,346319633206590E-002
9,7439855E-002	-9,136592096262675E-002
9,8465651E-002	-8,932706135506774E-002
9,9438429E-002	-8,742368964651552E-002
1,0047060E-001	-8,552224372667783E-002
1,0145292E-001	-8,370364262129004E-002
1,0246798E-001	-8,199102556006277E-002
1,0344514E-001	-8,039230925121810E-002
1,0442746E-001	-7,882791631242614E-002
1,0545433E-001	-7,730660004416701E-002
1,0645680E-001	-7,582620498745393E-002
1,0743700E-001	-7,441785817442126E-002
1,0850631E-001	-7,306113119063934E-002
1,0945468E-001	-7,174295904653366E-002
1,1043912E-001	-7,047861724006432E-002
1,1144583E-001	-6,927903694292870E-002
1,1241966E-001	-6,804411919141307E-002
1,1345715E-001	-6,689190346475216E-002
1,1442354E-001	-6,578506748329294E-002
1,1543345E-001	-6,474424145594142E-002
1,1644559E-001	-6,369625090532516E-002
1,1742990E-001	-6,270633525449498E-002
1,1845890E-001	-6,170928917557011E-002
1,1945183E-001	-6,075856218203191E-002
1,2044263E-001	-5,979152453393827E-002
1,2141965E-001	-5,885833385558825E-002
1,2242956E-001	-5,795959641105286E-002
1,2342141E-001	-5,705339603691995E-002
1,2443344E-001	-5,621677453633889E-002
1,2541045E-001	-5,538640583943472E-002
1,2644474E-001	-5,459486191264451E-002
1,2742388E-001	-5,378834668561683E-002
1,2845287E-001	-5,300561573236018E-002
1,2946276E-001	-5,227370032842149E-002
1,3046311E-001	-5,152631322596313E-002
1,3146345E-001	-5,083108273526971E-002
1,3248079E-001	-5,011324435599218E-002
1,3347903E-001	-4,942048522073539E-002
1,3447832E-001	-4,876669662974997E-002
1,3538319E-001	-4,810725579084718E-002
1,3641536E-001	-4,747566567678976E-002
1,3741679E-001	-4,683779389016707E-002
1,3843942E-001	-4,621695435543660E-002
1,3948219E-001	-4,556704541988232E-002
1,4043695E-001	-4,499836940932900E-002
1,4164521E-001	-4,452277142240924E-002
1,4264345E-001	-4,398667913768650E-002
1,4365132E-001	-4,342459535647461E-002
1,4463884E-001	-4,290238121084122E-002
1,4561373E-001	-4,236423876057338E-002
1,4668304E-001	-4,182139289213760E-002
1,4766429E-001	-4,126557959650201E-002
1,4860523E-001	-4,076994468073647E-002
1,4963530E-001	-4,028505576291930E-002
1,5060914E-001	-3,977274166788629E-002
1,5169857E-001	-3,929400762866181E-002
1,5260454E-001	-3,881989525342822E-002
1,5365368E-001	-3,831664748149832E-002
1,5463281E-001	-3,785649245808648E-002
1,5564695E-001	-3,738466224869674E-002
1,5663098E-001	-3,694347607339715E-002
1,5765613E-001	-3,646999316120020E-002
1,5864483E-001	-3,603135786745734E-002
1,5962714E-001	-3,558513174961203E-002
1,6061051E-001	-3,517959950662830E-002
1,6163421E-001	-3,477262983192597E-002
1,6258788E-001	-3,434117615714993E-002
1,6360308E-001	-3,393391546631735E-002
1,6458859E-001	-3,354054439893162E-002
1,6559744E-001	-3,312580308997293E-002
1,6661263E-001	-3,275705019593900E-002
1,6763526E-001	-3,236127246246209E-002
1,6862606E-001	-3,198007795491942E-002
1,6964127E-001	-3,161376656393161E-002
1,7060558E-001	-3,125178861074246E-002
1,7163667E-001	-3,086638179567580E-002
1,7263065E-001	-3,052830735834994E-002
1,7362462E-001	-3,016411667861785E-002
1,7461649E-001	-2,983313437990532E-002
1,7561366E-001	-2,948613875612077E-002
1,7660341E-001	-2,911255990689343E-002
1,7763558E-001	-2,877847905072256E-002
1,7862852E-001	-2,844953629433211E-002
1,7962462E-001	-2,814134793850226E-002
1,8064301E-001	-2,779157691880174E-002
1,8164760E-001	-2,746909507312714E-002
1,8262886E-001	-2,714495509287421E-002
1,8363558E-001	-2,683513658464404E-002
1,8464808E-001	-2,654388654806605E-002
1,8564053E-001	-2,624201730829215E-002
1,8665360E-001	-2,594184748408157E-002
1,8761577E-001	-2,562751906185856E-002
1,8861824E-001	-2,533007896206463E-002
1,8961647E-001	-2,504285179657229E-002
1,9063273E-001	-2,475786629627108E-002
1,9161612E-001	-2,448714623592529E-002
1,9262601E-001	-2,421336354069570E-002
1,9364229E-001	-2,396249343113671E-002
1,9459808E-001	-2,367008362578382E-002
1,9563980E-001	-2,339653257355026E-002
1,9663805E-001	-2,314338389078752E-002
1,9766480E-001	-2,283097519455879E-002
1,9861539E-001	-2,259533165343197E-002
1,9965817E-001	-2,234461217962391E-002
2,0062245E-001	-2,206626085259866E-002
2,0163235E-001	-2,183812430873933E-002
2,0262845E-001	-2,156562727198636E-002
2,0361820E-001	-2,134861007304814E-002
2,0465568E-001	-2,108831677119655E-002
2,0562102E-001	-2,084661063911333E-002
2,0667548E-001	-2,058970927677381E-002
2,0763656E-001	-2,036560636239182E-002
2,0864967E-001	-2,014040548944115E-002
2,0963199E-001	-1,990632135133293E-002
2,1065143E-001	-1,967710107388054E-002
2,1162124E-001	-1,947795061673746E-002
2,1265426E-001	-1,924715221958762E-002
