Ewe/V	<I>/mA
4,634173810482025E-001	0,000000000000000E+000
4,608395993709564E-001	0,000000000000000E+000
6,349726766347885E-002	-6,332823501692886E-001
6,407750397920609E-002	-2,041059780006389E-001
6,505770236253738E-002	-9,589876441597567E-002
6,603047251701355E-002	-7,012580950847913E-002
6,707750260829926E-002	-5,720236693147795E-002
6,804072111845016E-002	-4,900396829302023E-002
6,910727918148041E-002	-4,310697501425154E-002
7,017509639263153E-002	-3,848456916353893E-002
7,115528732538223E-002	-3,500561512317180E-002
7,217049598693848E-002	-3,212706658217312E-002
7,316660135984421E-002	-2,975148790702858E-002
7,418923079967499E-002	-2,771175083152037E-002
7,519640773534775E-002	-2,598528291578500E-002
7,617720216512680E-002	-2,446906280185382E-002
7,715845853090286E-002	-2,319146891807200E-002
7,818427681922913E-002	-2,202186284691321E-002
7,920265942811966E-002	-2,100880464864689E-002
8,018391579389572E-002	-2,010491349345792E-002
8,122033625841141E-002	-1,929614173465935E-002
8,212626725435257E-002	-1,855362641816233E-002
8,315102010965347E-002	-1,788276379921128E-002
8,416834473609924E-002	-1,725688603003941E-002
8,514642715454102E-002	-1,670139464560277E-002
8,614889532327652E-002	-1,618643290753412E-002
8,717754483222961E-002	-1,569556039454612E-002
8,813687413930893E-002	-1,527323821942847E-002
8,914888650178909E-002	-1,485558235904315E-002
9,016621112823486E-002	-1,448122839165678E-002
9,118247032165527E-002	-1,412153368155300E-002
9,218389540910721E-002	-1,377310320342173E-002
9,320120513439178E-002	-1,346185973509111E-002
9,415064007043839E-002	-1,316558259598449E-002
9,519025683403015E-002	-1,287650189913128E-002
9,618424624204636E-002	-1,260868965673451E-002
9,712836891412735E-002	-1,234543991492650E-002
9,814038127660751E-002	-1,209613663403640E-002
9,913437068462372E-002	-1,185391783606593E-002
1,001220569014549E-001	-1,163609256809012E-002
1,011881157755852E-001	-1,139546966486688E-002
1,021492108702660E-001	-1,119431819372896E-002
1,031591072678566E-001	-1,098513952119834E-002
1,041488498449326E-001	-1,081175521708273E-002
1,051439121365547E-001	-1,060842539135221E-002
1,061813905835152E-001	-1,041363820720297E-002
1,071774959564209E-001	-1,022872158708718E-002
1,081396639347076E-001	-1,006359417548992E-002
1,091601550579071E-001	-9,876617352367861E-003
1,101562753319740E-001	-9,722884867618603E-003
1,111693456768990E-001	-9,564713851399342E-003
1,121325641870499E-001	-9,421736934808793E-003
1,131575480103493E-001	-9,261727151824467E-003
1,141502559185028E-001	-9,117173109572614E-003
1,151431798934937E-001	-8,994568209599367E-003
1,161382272839546E-001	-8,852613911263921E-003
1,171491816639900E-001	-8,712180169674649E-003
1,181410551071167E-001	-8,591977721346775E-003
1,191583797335625E-001	-8,458124554073007E-003
1,201279610395432E-001	-8,340596052835908E-003
1,211856007575989E-001	-8,218502571905050E-003
1,221159398555756E-001	-8,111721961289106E-003
1,231173500418663E-001	-7,991207911513601E-003
1,241177022457123E-001	-7,889203609972084E-003
1,251546591520309E-001	-7,770939495078066E-003
1,261343061923981E-001	-7,655643039808528E-003
1,271887719631195E-001	-7,541631533415333E-003
1,281275898218155E-001	-7,443190550710355E-003
1,292106956243515E-001	-7,330643293268851E-003
1,301314681768417E-001	-7,246712035665265E-003
1,311381757259369E-001	-7,140609961651910E-003
1,322085708379745E-001	-7,027075706272048E-003
1,331484466791153E-001	-6,957819054294920E-003
1,341859251260757E-001	-6,863120590696166E-003
1,351799070835114E-001	-6,772344317149959E-003
1,361452490091324E-001	-6,685491160293225E-003
1,371371150016785E-001	-6,603525208334113E-003
