Ewe/V	<I>/mA	cycle number	
-4,1827065E-005	-5,754450708627701E-002	1,000000000000000E+000
5,4217386E-004	-2,341827986547584E-002	1,000000000000000E+000
1,5158626E-003	-1,344335028970858E-002	1,000000000000000E+000
2,4789330E-003	-1,083273328750979E-002	1,000000000000000E+000
3,4876617E-003	-9,394783753946090E-003	1,000000000000000E+000
4,5409873E-003	-8,427468902822643E-003	1,000000000000000E+000
5,4828217E-003	-7,709146197066960E-003	1,000000000000000E+000
6,4724372E-003	-7,147702541310030E-003	1,000000000000000E+000
7,4917842E-003	-6,687043555508060E-003	1,000000000000000E+000
8,4539317E-003	-6,292344011790928E-003	1,000000000000000E+000
9,4869435E-003	-5,962707241581378E-003	1,000000000000000E+000
1,0480807E-002	-5,670978186668972E-003	1,000000000000000E+000
1,1511834E-002	-5,416762117096380E-003	1,000000000000000E+000
1,2461100E-002	-5,192923797714213E-003	1,000000000000000E+000
1,3475139E-002	-4,976833337530386E-003	1,000000000000000E+000
1,4438209E-002	-4,783705796838113E-003	1,000000000000000E+000
1,5598489E-002	-4,577610845254571E-003	1,000000000000000E+000
1,6752977E-002	-4,442007227199181E-003	1,000000000000000E+000
1,7700849E-002	-4,293713125587378E-003	1,000000000000000E+000
1,8717343E-002	-4,161328048047450E-003	1,000000000000000E+000
1,9668734E-002	-4,033000741215743E-003	1,000000000000000E+000
2,0670028E-002	-3,909501149105279E-003	1,000000000000000E+000
2,1695746E-002	-3,803444769161645E-003	1,000000000000000E+000
2,2716159E-002	-3,705448039467915E-003	1,000000000000000E+000
2,3669671E-002	-3,608863511672632E-003	1,000000000000000E+000
2,4703881E-002	-3,514758991753341E-003	1,000000000000000E+000
2,5715798E-002	-3,423235289274157E-003	1,000000000000000E+000
2,6723467E-002	-3,345238361502356E-003	1,000000000000000E+000
2,7685659E-002	-3,258765130489470E-003	1,000000000000000E+000
2,8708005E-002	-3,186184520183287E-003	1,000000000000000E+000
2,9731600E-002	-3,108239391290152E-003	1,000000000000000E+000
3,0689361E-002	-3,049564171532820E-003	1,000000000000000E+000
3,1722512E-002	-2,983229555732221E-003	1,000000000000000E+000
3,2701507E-002	-2,922486998141471E-003	1,000000000000000E+000
3,3691123E-002	-2,859406490715047E-003	1,000000000000000E+000
3,4678616E-002	-2,798817658137893E-003	1,000000000000000E+000
3,5771232E-002	-2,745906601992834E-003	1,000000000000000E+000
3,6743522E-002	-2,684527156949910E-003	1,000000000000000E+000
3,7728164E-002	-2,624208767425980E-003	1,000000000000000E+000
3,8711410E-002	-2,573405471579582E-003	1,000000000000000E+000
3,9670236E-002	-2,526170532535225E-003	1,000000000000000E+000
4,0667281E-002	-2,484009673687879E-003	1,000000000000000E+000
4,1732289E-002	-2,432402281044813E-003	1,000000000000000E+000
4,2725090E-002	-2,393206386804351E-003	1,000000000000000E+000
4,3662678E-002	-2,348800253214392E-003	1,000000000000000E+000
4,4687331E-002	-2,310346347932401E-003	1,000000000000000E+000
4,5693934E-002	-2,266976808837556E-003	1,000000000000000E+000
4,6665549E-002	-2,226131977509754E-003	1,000000000000000E+000
4,7713514E-002	-2,180994463451744E-003	1,000000000000000E+000
4,8652168E-002	-2,148970516763892E-003	1,000000000000000E+000
4,9730975E-002	-2,111216576373583E-003	1,000000000000000E+000
5,0730146E-002	-2,071365508861481E-003	1,000000000000000E+000
5,1707018E-002	-2,036422201536676E-003	1,000000000000000E+000
5,2739106E-002	-2,008164036428881E-003	1,000000000000000E+000
5,3695813E-002	-1,973419490810428E-003	1,000000000000000E+000
5,4692861E-002	-1,941567325588148E-003	1,000000000000000E+000
5,5685103E-002	-1,912339061442135E-003	1,000000000000000E+000
5,6695446E-002	-1,873593130451868E-003	1,000000000000000E+000
5,7699937E-002	-1,844279300135060E-003	1,000000000000000E+000
5,8630083E-002	-1,815001996527874E-003	1,000000000000000E+000
5,9713144E-002	-1,789639122776743E-003	1,000000000000000E+000
6,0707007E-002	-1,754200644299458E-003	1,000000000000000E+000
6,1673257E-002	-1,728652469149126E-003	1,000000000000000E+000
6,2684119E-002	-1,700424173381711E-003	1,000000000000000E+000
6,3684352E-002	-1,677311193797860E-003	1,000000000000000E+000
6,4660162E-002	-1,645278653115154E-003	1,000000000000000E+000
6,5730430E-002	-1,622203019984831E-003	1,000000000000000E+000
6,6687174E-002	-1,601315035397354E-003	1,000000000000000E+000
6,7760669E-002	-1,575101457160451E-003	1,000000000000000E+000
6,8653665E-002	-1,550386788375917E-003	1,000000000000000E+000
6,9635846E-002	-1,529843352325613E-003	1,000000000000000E+000
7,0750766E-002	-1,504049394617610E-003	1,000000000000000E+000
7,1657553E-002	-1,486009385944214E-003	1,000000000000000E+000
7,2675832E-002	-1,464924411018630E-003	1,000000000000000E+000
7,3689871E-002	-1,440467143695889E-003	1,000000000000000E+000
7,4707098E-002	-1,421268728812548E-003	1,000000000000000E+000
7,5723261E-002	-1,389254620091075E-003	1,000000000000000E+000
7,6742612E-002	-1,373623102498351E-003	1,000000000000000E+000
7,7721603E-002	-1,356418093378959E-003	1,000000000000000E+000
7,8681491E-002	-1,330068900176709E-003	1,000000000000000E+000
7,9675354E-002	-1,312189639721590E-003	1,000000000000000E+000
8,0702141E-002	-1,301463794319828E-003	1,000000000000000E+000
8,1666268E-002	-1,279464462389429E-003	1,000000000000000E+000
8,2687736E-002	-1,261596010418852E-003	1,000000000000000E+000
8,3686918E-002	-1,239028440750706E-003	1,000000000000000E+000
8,4672086E-002	-1,233001977965206E-003	1,000000000000000E+000
8,5696936E-002	-1,205918005579325E-003	1,000000000000000E+000
8,6741768E-002	-1,187070883350409E-003	1,000000000000000E+000
8,7654933E-002	-1,163978601374655E-003	1,000000000000000E+000
8,8726304E-002	-1,158047432006065E-003	1,000000000000000E+000
8,9723356E-002	-1,137109590290946E-003	1,000000000000000E+000
9,0694912E-002	-1,122029403277320E-003	1,000000000000000E+000
9,1706835E-002	-1,113132193648017E-003	1,000000000000000E+000
9,2746362E-002	-1,092066948727162E-003	1,000000000000000E+000
9,3710482E-002	-1,079915667986138E-003	1,000000000000000E+000
9,4706900E-002	-1,052793499348108E-003	1,000000000000000E+000
9,5690787E-002	-1,044627161415213E-003	1,000000000000000E+000
9,6685708E-002	-1,026678440989481E-003	1,000000000000000E+000
9,7714603E-002	-1,014274777489819E-003	1,000000000000000E+000
9,8674484E-002	-1,001840545002929E-003	1,000000000000000E+000
9,9702328E-002	-9,892071846772542E-004	1,000000000000000E+000
1,0068770E-001	-9,791863624673304E-004	1,000000000000000E+000
1,0172298E-001	-9,629765890726482E-004	1,000000000000000E+000
1,0266057E-001	-9,553257119465650E-004	1,000000000000000E+000
1,0369775E-001	-9,391560920437398E-004	1,000000000000000E+000
1,0467166E-001	-9,259517191780708E-004	1,000000000000000E+000
1,0566764E-001	-9,161193421007748E-004	1,000000000000000E+000
1,0669866E-001	-9,036609315077292E-004	1,000000000000000E+000
1,0770634E-001	-8,906742596061449E-004	1,000000000000000E+000
1,0869066E-001	-8,745439675432768E-004	1,000000000000000E+000
1,0968345E-001	-8,636584382423968E-004	1,000000000000000E+000
1,1069218E-001	-8,523542521717605E-004	1,000000000000000E+000
1,1170939E-001	-8,425017271428865E-004	1,000000000000000E+000
1,1268945E-001	-8,383126166713701E-004	1,000000000000000E+000
1,1368147E-001	-8,191594115838155E-004	1,000000000000000E+000
1,1469099E-001	-8,082296348604114E-004	1,000000000000000E+000
1,1568909E-001	-7,930142259976389E-004	1,000000000000000E+000
1,1665216E-001	-7,839133864359221E-004	1,000000000000000E+000
1,1764921E-001	-7,732091771582988E-004	1,000000000000000E+000
1,1867068E-001	-7,643548442110119E-004	1,000000000000000E+000
1,1967836E-001	-7,564048848091229E-004	1,000000000000000E+000
1,2068284E-001	-7,426760007289441E-004	1,000000000000000E+000
1,2165334E-001	-7,385277945114758E-004	1,000000000000000E+000
1,2266706E-001	-7,293664801450179E-004	1,000000000000000E+000
1,2370053E-001	-7,125167019347879E-004	1,000000000000000E+000
1,2466254E-001	-7,015359304972223E-004	1,000000000000000E+000
1,2566066E-001	-6,950340453746042E-004	1,000000000000000E+000
1,2665664E-001	-6,870685854978263E-004	1,000000000000000E+000
1,2769935E-001	-6,744202657001771E-004	1,000000000000000E+000
1,2872612E-001	-6,708189188442369E-004	1,000000000000000E+000
1,2965734E-001	-6,632487466523840E-004	1,000000000000000E+000
1,3068943E-001	-6,544467808508865E-004	1,000000000000000E+000
1,3166630E-001	-6,430729805873819E-004	1,000000000000000E+000
1,3269123E-001	-6,281761921434221E-004	1,000000000000000E+000
