EC-Lab ASCII FILE
Nb header lines : 59                          

Cyclic Voltammetry

Run on channel : 1 (SN 10336)
User : 
CE vs. WE compliance from -10 V to 10 V
Electrode connection : standard
Potential control : Ewe
Ewe ctrl range : min = -2,50 V, max = 2,50 V
Safety Limits :
	Do not start on E overload
Acquisition started on : 10/13/2024 13:58:28.596
Technique started on : 10/13/2024 14:02:35.906
Loaded Setting File :  C:\EC-lab data\Neethu\Methods\CV_ECSA.mps
Saved on :
	File : CV_ECSA_02_CV_C01.mpr
	Directory : C:\EC-lab data\Neethu\2024_10_13_Ni90Fe10_CeO2\CV_ECSA\
	Host : 10.54.33.65
Device : VMP3 (SN 0498)
Address : USB
EC-Lab for windows v11.52 (software)
Internet server v11.52 (firmware)
Command interpretor v11.50 (firmware)
Electrode material : 
Initial state : 
Electrolyte : 
Comments : 
Electrode surface area : 0,001 cm²
Characteristic mass : 0,001 g
Volume (V) : 0,001 cm³
Thickness (t) : 0,000 cm
Diameter (d) : 0,000 cm
Cell constant (k=t/A) : 0,000 cm-1
Cycle Definition : Charge/Discharge alternance
Ei (V)              0,064               
vs.                 Ref                 
dE/dt               20,000              
dE/dt unit          mV/s                
E1 (V)              0,364               
vs.                 Ref                 
Step percent        50                  
N                   10                  
E range min (V)     -2,500              
E range max (V)     2,500               
I Range             Auto                
I Range min         Unset               
I Range max         Unset               
I Range init        Unset               
Bandwidth           5                   
E2 (V)              0,064               
vs.                 Ref                 
nc cycles           3                   
Reverse Scan        1                   
Ef (V)              0,070               
vs.                 Eoc                 

Ewe/V	<I>/mA	cycle number	
6,3250087E-002	9,265850298106670E-003	1,000000000000000E+000
6,4261027E-002	-5,727151582201898E-003	1,000000000000000E+000
6,5326080E-002	-3,485052763911284E-003	1,000000000000000E+000
6,6275515E-002	-2,703182213567575E-003	1,000000000000000E+000
6,7303441E-002	-2,203530382166823E-003	1,000000000000000E+000
6,8286821E-002	-1,813119701300485E-003	1,000000000000000E+000
6,9323242E-002	-1,567390917191207E-003	1,000000000000000E+000
7,0281163E-002	-1,365774674750522E-003	1,000000000000000E+000
7,1283638E-002	-1,170831626815789E-003	1,000000000000000E+000
7,2338097E-002	-1,063270816538770E-003	1,000000000000000E+000
7,3299192E-002	-9,598334165056496E-004	1,000000000000000E+000
7,4268781E-002	-8,285008346623126E-004	1,000000000000000E+000
7,5281858E-002	-7,085043339429796E-004	1,000000000000000E+000
7,6285399E-002	-6,168011268496473E-004	1,000000000000000E+000
7,7317573E-002	-6,481273637662013E-004	1,000000000000000E+000
7,8339137E-002	-4,642198214578792E-004	1,000000000000000E+000
7,9325698E-002	-4,815099438373084E-004	1,000000000000000E+000
8,0351517E-002	-4,285342020011735E-004	1,000000000000000E+000
8,1317917E-002	-3,197383141637323E-004	1,000000000000000E+000
8,2315087E-002	-3,254122617969784E-004	1,000000000000000E+000
8,3331347E-002	-2,316929578051303E-004	1,000000000000000E+000
8,4287152E-002	-2,753958415269149E-004	1,000000000000000E+000
8,5312963E-002	-2,240824509777263E-004	1,000000000000000E+000
8,6314373E-002	-1,873445768759900E-004	1,000000000000000E+000
8,7315783E-002	-1,218182664565067E-004	1,000000000000000E+000
8,8338412E-002	-1,027183421195301E-004	1,000000000000000E+000
8,9300573E-002	-1,541871813936245E-005	1,000000000000000E+000
9,0298802E-002	2,784202241333262E-005	1,000000000000000E+000
9,1324620E-002	-6,722819815901296E-007	1,000000000000000E+000
9,2287838E-002	2,340011212077623E-005	1,000000000000000E+000
9,3273334E-002	8,381539351342266E-005	1,000000000000000E+000
9,4312951E-002	2,077092030790332E-005	1,000000000000000E+000
9,5291011E-002	1,215023847809906E-004	1,000000000000000E+000
9,6309401E-002	6,299117552122915E-005	1,000000000000000E+000
9,7325660E-002	1,601826539727983E-004	1,000000000000000E+000
9,8277219E-002	1,820650455299608E-004	1,000000000000000E+000
9,9321060E-002	1,901648288535566E-004	1,000000000000000E+000
1,0029490E-001	1,912465636408987E-004	1,000000000000000E+000
1,0126130E-001	2,705141745941043E-004	1,000000000000000E+000
1,0231682E-001	3,030725013357166E-004	1,000000000000000E+000
1,0330126E-001	2,521128329775547E-004	1,000000000000000E+000
1,0427614E-001	2,961074850123552E-004	1,000000000000000E+000
1,0530727E-001	2,948960669123648E-004	1,000000000000000E+000
1,0630123E-001	3,281706005711593E-004	1,000000000000000E+000
1,0725704E-001	2,927561575137148E-004	1,000000000000000E+000
1,0831363E-001	3,931899178092457E-004	1,000000000000000E+000
1,0933625E-001	3,807425552993134E-004	1,000000000000000E+000
1,1025492E-001	3,821838833607256E-004	1,000000000000000E+000
1,1127983E-001	3,747916510382665E-004	1,000000000000000E+000
1,1230124E-001	3,752159446961468E-004	1,000000000000000E+000
1,1330689E-001	3,607229794447974E-004	1,000000000000000E+000
1,1428708E-001	3,723037936390912E-004	1,000000000000000E+000
1,1531183E-001	3,707799186048323E-004	1,000000000000000E+000
1,1628143E-001	4,209260780077809E-004	1,000000000000000E+000
1,1728815E-001	4,719270003719174E-004	1,000000000000000E+000
1,1826621E-001	5,008008957213834E-004	1,000000000000000E+000
1,1930478E-001	4,707568316209502E-004	1,000000000000000E+000
1,2027541E-001	4,934585931887668E-004	1,000000000000000E+000
1,2123332E-001	4,631875873639260E-004	1,000000000000000E+000
1,2224428E-001	4,862313161605979E-004	1,000000000000000E+000
1,2324782E-001	4,663679782323819E-004	1,000000000000000E+000
1,2425453E-001	5,164728110887366E-004	1,000000000000000E+000
1,2529837E-001	5,515659975369805E-004	1,000000000000000E+000
1,2628387E-001	4,814592513395352E-004	1,000000000000000E+000
1,2728953E-001	6,113240209978631E-004	1,000000000000000E+000
1,2828776E-001	4,945993033558197E-004	1,000000000000000E+000
1,2929872E-001	5,984403993511273E-004	1,000000000000000E+000
1,3028635E-001	5,794259320400352E-004	1,000000000000000E+000
1,3128351E-001	6,000084500951876E-004	1,000000000000000E+000
1,3228810E-001	6,108995378747732E-004	1,000000000000000E+000
1,3330437E-001	6,528162480376673E-004	1,000000000000000E+000
1,3434079E-001	6,074981224797014E-004	1,000000000000000E+000
1,3528174E-001	6,418809558386704E-004	1,000000000000000E+000
1,3626619E-001	6,475018340771146E-004	1,000000000000000E+000
1,3727289E-001	6,457363097406767E-004	1,000000000000000E+000
1,3830507E-001	5,979128079195133E-004	1,000000000000000E+000
1,3927998E-001	6,698204603657765E-004	1,000000000000000E+000
1,4028457E-001	6,514368143581608E-004	1,000000000000000E+000
1,4132415E-001	6,409524842815187E-004	1,000000000000000E+000
1,4228101E-001	6,941493107593399E-004	1,000000000000000E+000
1,4329410E-001	6,693105164298761E-004	1,000000000000000E+000
1,4425521E-001	7,145578959529717E-004	1,000000000000000E+000
1,4530224E-001	6,943261577934817E-004	1,000000000000000E+000
1,4631000E-001	7,571731574124102E-004	1,000000000000000E+000
1,4727536E-001	7,314206593407478E-004	1,000000000000000E+000
1,4830117E-001	7,679964419030176E-004	1,000000000000000E+000
1,4928137E-001	7,449792566923711E-004	1,000000000000000E+000
1,5026475E-001	7,170544302392019E-004	1,000000000000000E+000
1,5130222E-001	7,345273927933643E-004	1,000000000000000E+000
1,5230151E-001	6,829487501312948E-004	1,000000000000000E+000
1,5327004E-001	7,573882966661798E-004	1,000000000000000E+000
1,5430434E-001	7,421496091545264E-004	1,000000000000000E+000
1,5525694E-001	7,263008279004965E-004	1,000000000000000E+000
1,5629762E-001	7,808623790963413E-004	1,000000000000000E+000
1,5727781E-001	7,787607209711160E-004	1,000000000000000E+000
1,5827604E-001	7,952433555028973E-004	1,000000000000000E+000
1,5927957E-001	7,680259065333886E-004	1,000000000000000E+000
1,6028097E-001	8,636316312544239E-004	1,000000000000000E+000
1,6125147E-001	8,473419403670236E-004	1,000000000000000E+000
1,6224773E-001	8,926764346294715E-004	1,000000000000000E+000
1,6328628E-001	8,288155309788547E-004	1,000000000000000E+000
1,6424738E-001	7,700979921141720E-004	1,000000000000000E+000
1,6528381E-001	8,843143276172430E-004	1,000000000000000E+000
1,6625233E-001	8,448765363903467E-004	1,000000000000000E+000
1,6728875E-001	8,604807369381341E-004	1,000000000000000E+000
1,6824138E-001	8,196104266154952E-004	1,000000000000000E+000
1,6929688E-001	9,274837234864181E-004	1,000000000000000E+000
1,7024525E-001	8,700306883358475E-004	1,000000000000000E+000
1,7129971E-001	8,973070464266888E-004	1,000000000000000E+000
1,7223428E-001	8,278870562932091E-004	1,000000000000000E+000
1,7326327E-001	9,196668858445882E-004	1,000000000000000E+000
1,7429650E-001	8,235040886953975E-004	1,000000000000000E+000
1,7523852E-001	8,839400552292133E-004	1,000000000000000E+000
1,7622720E-001	8,489971718585385E-004	1,000000000000000E+000
1,7727000E-001	9,294408511474703E-004	1,000000000000000E+000
1,7820351E-001	8,707144773712526E-004	1,000000000000000E+000
1,7922932E-001	9,344222169063304E-004	1,000000000000000E+000
1,8026255E-001	9,267881487765488E-004	1,000000000000000E+000
1,8126395E-001	8,742751163447774E-004	1,000000000000000E+000
1,8227600E-001	9,338032312505833E-004	1,000000000000000E+000
1,8325196E-001	9,380004557560540E-004	1,000000000000000E+000
1,8427987E-001	8,489942644229354E-004	1,000000000000000E+000
1,8524629E-001	9,342541816074121E-004	1,000000000000000E+000
1,8622540E-001	9,655509277729825E-004	1,000000000000000E+000
1,8726395E-001	9,619961852809812E-004	1,000000000000000E+000
1,8826430E-001	9,100314639706765E-004	1,000000000000000E+000
1,8928482E-001	9,557828612506217E-004	1,000000000000000E+000
1,9025229E-001	9,804535791738999E-004	1,000000000000000E+000
1,9126323E-001	9,849749919828895E-004	1,000000000000000E+000
1,9223812E-001	9,647757266588166E-004	1,000000000000000E+000
1,9330637E-001	9,954151802486662E-004	1,000000000000000E+000
1,9425793E-001	9,570738513368128E-004	1,000000000000000E+000
1,9523071E-001	9,512141844222957E-004	1,000000000000000E+000
1,9627559E-001	9,891015599510777E-004	1,000000000000000E+000
1,9730458E-001	1,005604661848476E-003	1,000000000000000E+000
1,9827420E-001	1,029125914741330E-003	1,000000000000000E+000
1,9925864E-001	9,663438069630360E-004	1,000000000000000E+000
2,0026006E-001	1,028881275420578E-003	1,000000000000000E+000
2,0125826E-001	1,002427339076181E-003	1,000000000000000E+000
2,0227453E-001	9,820275827139464E-004	1,000000000000000E+000
2,0328760E-001	1,027092139511129E-003	1,000000000000000E+000
2,0431556E-001	1,051975070492132E-003	1,000000000000000E+000
2,0526285E-001	1,047276773264192E-003	1,000000000000000E+000
2,0626850E-001	9,969684700384561E-004	1,000000000000000E+000
2,0730281E-001	1,046663653343983E-003	1,000000000000000E+000
2,0824799E-001	9,980944754614807E-004	1,000000000000000E+000
2,0928654E-001	1,089962677859284E-003	1,000000000000000E+000
2,1029323E-001	1,063057693078949E-003	1,000000000000000E+000
2,1130638E-001	1,087207032086153E-003	1,000000000000000E+000
2,1225153E-001	1,051992745108995E-003	1,000000000000000E+000
2,1326992E-001	1,117156494139503E-003	1,000000000000000E+000
2,1426390E-001	1,068702306686947E-003	1,000000000000000E+000
2,1527168E-001	1,077574291147486E-003	1,000000000000000E+000
2,1626461E-001	1,065454095876505E-003	1,000000000000000E+000
2,1727769E-001	1,149726567746257E-003	1,000000000000000E+000
2,1827805E-001	1,095442114269140E-003	1,000000000000000E+000
2,1922639E-001	1,131829325938978E-003	1,000000000000000E+000
2,2027130E-001	1,150843698599989E-003	1,000000000000000E+000
2,2130561E-001	1,098363113650677E-003	1,000000000000000E+000
2,2227520E-001	1,175794506892727E-003	1,000000000000000E+000
2,2326814E-001	1,149075261583601E-003	1,000000000000000E+000
2,2429605E-001	1,184368868659174E-003	1,000000000000000E+000
2,2524761E-001	1,110789832990928E-003	1,000000000000000E+000
2,2626492E-001	1,134806290961193E-003	1,000000000000000E+000
2,2726105E-001	1,209508274179689E-003	1,000000000000000E+000
2,2827625E-001	1,168661506847420E-003	1,000000000000000E+000
2,2929038E-001	1,187118839989464E-003	1,000000000000000E+000
2,3025362E-001	1,212320179631743E-003	1,000000000000000E+000
2,3132610E-001	1,198905949140506E-003	1,000000000000000E+000
2,3228508E-001	1,106315490612055E-003	1,000000000000000E+000
2,3330344E-001	1,198407825355657E-003	1,000000000000000E+000
2,3430170E-001	1,152155367317729E-003	1,000000000000000E+000
2,3531581E-001	1,231107636545790E-003	1,000000000000000E+000
2,3629285E-001	1,211574405968144E-003	1,000000000000000E+000
2,3730488E-001	1,235307807713037E-003	1,000000000000000E+000
2,3828718E-001	1,266533834085393E-003	1,000000000000000E+000
2,3926422E-001	1,209119117691919E-003	1,000000000000000E+000
2,4029639E-001	1,263671772773232E-003	1,000000000000000E+000
2,4129353E-001	1,323818931357185E-003	1,000000000000000E+000
2,4227588E-001	1,310245631227898E-003	1,000000000000000E+000
2,4328259E-001	1,311227119660750E-003	1,000000000000000E+000
2,4426596E-001	1,285713381986608E-003	1,000000000000000E+000
2,4531619E-001	1,275052232948062E-003	1,000000000000000E+000
2,4629532E-001	1,298812138261211E-003	1,000000000000000E+000
2,4731264E-001	1,301308706755606E-003	1,000000000000000E+000
2,4827798E-001	1,281642859988070E-003	1,000000000000000E+000
2,4932820E-001	1,301615293052108E-003	1,000000000000000E+000
2,5027972E-001	1,336552212491271E-003	1,000000000000000E+000
2,5130236E-001	1,351802693568088E-003	1,000000000000000E+000
2,5228575E-001	1,348165420817844E-003	1,000000000000000E+000
2,5325745E-001	1,334650999406552E-003	1,000000000000000E+000
2,5426841E-001	1,378510111121785E-003	1,000000000000000E+000
2,5525498E-001	1,379889542860192E-003	1,000000000000000E+000
2,5630307E-001	1,363041576338573E-003	1,000000000000000E+000
2,5726947E-001	1,345391821709428E-003	1,000000000000000E+000
2,5827196E-001	1,361358558900367E-003	1,000000000000000E+000
2,5928822E-001	1,391594193886773E-003	1,000000000000000E+000
2,6026204E-001	1,404872706546951E-003	1,000000000000000E+000
2,6128045E-001	1,386783296602400E-003	1,000000000000000E+000
2,6230836E-001	1,351507927682644E-003	1,000000000000000E+000
2,6329386E-001	1,392283872430906E-003	1,000000000000000E+000
2,6429313E-001	1,361959823009747E-003	1,000000000000000E+000
2,6525953E-001	1,447275728059628E-003	1,000000000000000E+000
2,6628220E-001	1,432231568298060E-003	1,000000000000000E+000
2,6727194E-001	1,376662015828783E-003	1,000000000000000E+000
2,6825318E-001	1,391066576750887E-003	1,000000000000000E+000
2,6930445E-001	1,413786006878585E-003	1,000000000000000E+000
2,7027193E-001	1,404271428841468E-003	1,000000000000000E+000
2,7129668E-001	1,525467455908092E-003	1,000000000000000E+000
2,7227792E-001	1,496136790963104E-003	1,000000000000000E+000
2,7327722E-001	1,480052112439295E-003	1,000000000000000E+000
2,7427545E-001	1,492145827225447E-003	1,000000000000000E+000
2,7526519E-001	1,435255796796712E-003	1,000000000000000E+000
2,7624223E-001	1,520262232361345E-003	1,000000000000000E+000
2,7726799E-001	1,529036987072366E-003	1,000000000000000E+000
2,7826837E-001	1,527398159657457E-003	1,000000000000000E+000
2,7925071E-001	1,532243847489345E-003	1,000000000000000E+000
2,8025213E-001	1,525591274801008E-003	1,000000000000000E+000
2,8127366E-001	1,563699751613960E-003	1,000000000000000E+000
2,8227934E-001	1,536449901592549E-003	1,000000000000000E+000
2,8330195E-001	1,536906795822520E-003	1,000000000000000E+000
2,8430653E-001	1,562732995466568E-003	1,000000000000000E+000
2,8529522E-001	1,620415977042832E-003	1,000000000000000E+000
2,8625315E-001	1,570364131561747E-003	1,000000000000000E+000
2,8725561E-001	1,604823525414963E-003	1,000000000000000E+000
2,8826767E-001	1,641579084120110E-003	1,000000000000000E+000
2,8927967E-001	1,593847015787679E-003	1,000000000000000E+000
2,9030547E-001	1,618113882294117E-003	1,000000000000000E+000
2,9125172E-001	1,646147822253014E-003	1,000000000000000E+000
2,9224038E-001	1,648791750093789E-003	1,000000000000000E+000
2,9326409E-001	1,643436117471231E-003	1,000000000000000E+000
2,9425490E-001	1,642006492282362E-003	1,000000000000000E+000
2,9528391E-001	1,705923480172982E-003	1,000000000000000E+000
2,9628319E-001	1,671293113523223E-003	1,000000000000000E+000
2,9725912E-001	1,669229766826496E-003	1,000000000000000E+000
2,9825950E-001	1,661471899271620E-003	1,000000000000000E+000
2,9927787E-001	1,741438120697478E-003	1,000000000000000E+000
3,0028245E-001	1,696547395601593E-003	1,000000000000000E+000
3,0125952E-001	1,714273752226186E-003	1,000000000000000E+000
3,0221847E-001	1,751197377753101E-003	1,000000000000000E+000
3,0325595E-001	1,751120763388934E-003	1,000000000000000E+000
3,0425522E-001	1,761555017022028E-003	1,000000000000000E+000
3,0524710E-001	1,708652868311830E-003	1,000000000000000E+000
3,0623260E-001	1,773654445886549E-003	1,000000000000000E+000
3,0728811E-001	1,785058489347680E-003	1,000000000000000E+000
3,0823967E-001	1,894664854515012E-003	1,000000000000000E+000
3,0926970E-001	1,772174878994896E-003	1,000000000000000E+000
3,1025150E-001	1,814331339552170E-003	1,000000000000000E+000
3,1126407E-001	1,872823793763490E-003	1,000000000000000E+000
3,1225699E-001	1,831809113408814E-003	1,000000000000000E+000
3,1324887E-001	1,883358224892656E-003	1,000000000000000E+000
3,1423542E-001	1,817702173518131E-003	1,000000000000000E+000
3,1524318E-001	1,843230716718103E-003	1,000000000000000E+000
3,1622449E-001	1,921422425339278E-003	1,000000000000000E+000
3,1727150E-001	1,913994708855980E-003	1,000000000000000E+000
3,1821027E-001	1,926527523344830E-003	1,000000000000000E+000
3,1926793E-001	1,885869494128865E-003	1,000000000000000E+000
3,2025450E-001	1,917298930392358E-003	1,000000000000000E+000
3,2124740E-001	1,955572233782732E-003	1,000000000000000E+000
3,2227215E-001	1,977775973290158E-003	1,000000000000000E+000
3,2326296E-001	1,985642805097826E-003	1,000000000000000E+000
3,2426119E-001	1,985825635349169E-003	1,000000000000000E+000
3,2522869E-001	1,957556017765053E-003	1,000000000000000E+000
3,2628739E-001	1,958690827854702E-003	1,000000000000000E+000
3,2724634E-001	2,000742999472192E-003	1,000000000000000E+000
3,2823822E-001	1,977030125047984E-003	1,000000000000000E+000
3,2925129E-001	2,026103625515436E-003	1,000000000000000E+000
3,3025163E-001	2,050081452774025E-003	1,000000000000000E+000
3,3126366E-001	2,051266442625398E-003	1,000000000000000E+000
3,3224067E-001	2,071524711254819E-003	1,000000000000000E+000
3,3328876E-001	2,005479729160910E-003	1,000000000000000E+000
3,3429867E-001	2,114139885028024E-003	1,000000000000000E+000
3,3526403E-001	2,082978911655826E-003	1,000000000000000E+000
3,3624738E-001	2,120583305104109E-003	1,000000000000000E+000
3,3726257E-001	2,159010155150165E-003	1,000000000000000E+000
3,3829054E-001	2,152133447688592E-003	1,000000000000000E+000
3,3927286E-001	2,128420686521745E-003	1,000000000000000E+000
3,4023711E-001	2,109556497156592E-003	1,000000000000000E+000
3,4123853E-001	2,137366524678962E-003	1,000000000000000E+000
3,4223360E-001	2,173956894559390E-003	1,000000000000000E+000
3,4327745E-001	2,222573380263547E-003	1,000000000000000E+000
3,4425974E-001	2,187509618966882E-003	1,000000000000000E+000
3,4526435E-001	2,220250611706567E-003	1,000000000000000E+000
3,4628487E-001	2,237829818989637E-003	1,000000000000000E+000
3,4721199E-001	2,241708590763331E-003	1,000000000000000E+000
3,4829408E-001	2,232889613070350E-003	1,000000000000000E+000
3,4925619E-001	2,290366256838081E-003	1,000000000000000E+000
3,5027882E-001	2,286263226037758E-003	1,000000000000000E+000
3,5130250E-001	2,285573590025125E-003	1,000000000000000E+000
3,5226044E-001	2,286732011809914E-003	1,000000000000000E+000
3,5322157E-001	2,308372708082769E-003	1,000000000000000E+000
3,5427284E-001	2,348974608240600E-003	1,000000000000000E+000
3,5524240E-001	2,361952750005804E-003	1,000000000000000E+000
3,5627246E-001	2,338587756471333E-003	1,000000000000000E+000
3,5724840E-001	2,336441993032136E-003	1,000000000000000E+000
3,5823816E-001	2,374936399940429E-003	1,000000000000000E+000
3,5919929E-001	2,399197382112986E-003	1,000000000000000E+000
3,6018437E-001	2,419154916753062E-003	1,000000000000000E+000
3,6124030E-001	2,415016828443327E-003	1,000000000000000E+000
3,6218861E-001	2,417949706863577E-003	1,000000000000000E+000
3,6294186E-001	2,469374245265492E-003	1,000000000000000E+000
3,6330473E-001	2,108047875420495E-003	1,000000000000000E+000
3,6272225E-001	2,254129328615878E-003	1,000000000000000E+000
3,6170703E-001	1,767497108554984E-003	1,000000000000000E+000
3,6074913E-001	1,598851834117978E-003	1,000000000000000E+000
3,5972452E-001	1,487648267911180E-003	1,000000000000000E+000
3,5872397E-001	1,348746039194864E-003	1,000000000000000E+000
3,5774910E-001	1,259881327583841E-003	1,000000000000000E+000
3,5675302E-001	1,151957869877960E-003	1,000000000000000E+000
3,5571763E-001	1,103135180073881E-003	1,000000000000000E+000
3,5471725E-001	1,073774901838248E-003	1,000000000000000E+000
3,5372970E-001	9,647668632371473E-004	1,000000000000000E+000
3,5276750E-001	9,254971143861784E-004	1,000000000000000E+000
3,5176396E-001	8,581374190325935E-004	1,000000000000000E+000
3,5077420E-001	8,345160516988141E-004	1,000000000000000E+000
3,4975374E-001	7,442865907149893E-004	1,000000000000000E+000
3,4874067E-001	6,904265955435460E-004	1,000000000000000E+000
3,4775412E-001	7,049872859810138E-004	1,000000000000000E+000
3,4673572E-001	6,132310356397962E-004	1,000000000000000E+000
