EC-Lab ASCII FILE
Nb header lines : 59                          

Cyclic Voltammetry

Run on channel : 1 (SN 10336)
User : 
CE vs. WE compliance from -10 V to 10 V
Electrode connection : standard
Potential control : Ewe
Ewe ctrl range : min = -2,50 V, max = 2,50 V
Safety Limits :
	Do not start on E overload
Acquisition started on : 10/13/2024 13:58:28.596
Technique started on : 10/13/2024 14:05:53.947
Loaded Setting File :  C:\EC-lab data\Neethu\Methods\CV_ECSA.mps
Saved on :
	File : CV_ECSA_05_CV_C01.mpr
	Directory : C:\EC-lab data\Neethu\2024_10_13_Ni90Fe10_CeO2\CV_ECSA\
	Host : 10.54.33.65
Device : VMP3 (SN 0498)
Address : USB
EC-Lab for windows v11.52 (software)
Internet server v11.52 (firmware)
Command interpretor v11.50 (firmware)
Electrode material : 
Initial state : 
Electrolyte : 
Comments : 
Electrode surface area : 0,001 cm²
Characteristic mass : 0,001 g
Volume (V) : 0,001 cm³
Thickness (t) : 0,000 cm
Diameter (d) : 0,000 cm
Cell constant (k=t/A) : 0,000 cm-1
Cycle Definition : Charge/Discharge alternance
Ei (V)              0,064               
vs.                 Ref                 
dE/dt               200,000             
dE/dt unit          mV/s                
E1 (V)              0,364               
vs.                 Ref                 
Step percent        50                  
N                   10                  
E range min (V)     -2,500              
E range max (V)     2,500               
I Range             Auto                
I Range min         Unset               
I Range max         Unset               
I Range init        Unset               
Bandwidth           5                   
E2 (V)              0,064               
vs.                 Ref                 
nc cycles           3                   
Reverse Scan        1                   
Ef (V)              0,070               
vs.                 Eoc                 

Ewe/V	<I>/mA	cycle number	
6,8730272E-002	2,118929848074913E-002	1,000000000000000E+000
6,9931053E-002	1,003288520471631E-003	1,000000000000000E+000
7,0741713E-002	5,445757317395612E-003	1,000000000000000E+000
7,1643502E-002	3,679209459123312E-003	1,000000000000000E+000
7,2620369E-002	2,639732287336341E-003	1,000000000000000E+000
7,3731333E-002	2,729176283041441E-003	1,000000000000000E+000
7,4736841E-002	3,630374408534087E-003	1,000000000000000E+000
7,5723268E-002	4,180647711688246E-003	1,000000000000000E+000
7,6681040E-002	4,058646770896637E-003	1,000000000000000E+000
7,7747300E-002	4,656894167055742E-003	1,000000000000000E+000
7,8722879E-002	4,651851122864877E-003	1,000000000000000E+000
7,9714060E-002	4,661350593199699E-003	1,000000000000000E+000
8,0677040E-002	5,152659981583629E-003	1,000000000000000E+000
8,1690803E-002	5,092480829386098E-003	1,000000000000000E+000
8,2707152E-002	5,284840302093398E-003	1,000000000000000E+000
8,3741315E-002	5,362629090499990E-003	1,000000000000000E+000
8,4732935E-002	5,533956831393239E-003	1,000000000000000E+000
8,5713282E-002	5,771866355230901E-003	1,000000000000000E+000
8,6702302E-002	5,772394684093109E-003	1,000000000000000E+000
8,7703466E-002	5,796913345792840E-003	1,000000000000000E+000
8,8701174E-002	6,222002827681469E-003	1,000000000000000E+000
8,9701898E-002	6,098670587727478E-003	1,000000000000000E+000
9,0741701E-002	6,129064249514440E-003	1,000000000000000E+000
9,1691233E-002	6,379504794246975E-003	1,000000000000000E+000
9,2708029E-002	6,344321734518016E-003	1,000000000000000E+000
9,3746081E-002	6,644277541454371E-003	1,000000000000000E+000
9,4740741E-002	6,533288333395670E-003	1,000000000000000E+000
9,5741928E-002	6,551555924405969E-003	1,000000000000000E+000
9,6755669E-002	6,595710230199475E-003	1,000000000000000E+000
9,7689159E-002	6,865872538665767E-003	1,000000000000000E+000
9,8737620E-002	6,940196024515871E-003	1,000000000000000E+000
9,9701032E-002	7,042424046713597E-003	1,000000000000000E+000
