EC-Lab ASCII FILE
Ewe/V	<I>/mA	cycle number	
6,8379074E-002	-5,087280645966530E-002	1,000000000000000E+000
7,0139237E-002	1,310588073796371E-003	1,000000000000000E+000
7,0930801E-002	-4,593278637457815E-003	1,000000000000000E+000
7,1962781E-002	-8,169755016555480E-003	1,000000000000000E+000
7,3018633E-002	-7,688581706216474E-003	1,000000000000000E+000
7,4086204E-002	-5,866708802180015E-003	1,000000000000000E+000
7,5075656E-002	-4,163009846334637E-003	1,000000000000000E+000
7,6095060E-002	-3,019221120956151E-003	1,000000000000000E+000
7,7055000E-002	-2,760894554078474E-003	1,000000000000000E+000
7,8105211E-002	-1,909189843073270E-003	1,000000000000000E+000
7,9053447E-002	-1,562837245780262E-003	1,000000000000000E+000
8,0038562E-002	-1,251153905048921E-003	1,000000000000000E+000
8,1093103E-002	-6,099752169745898E-004	1,000000000000000E+000
8,2045674E-002	-4,572771082125881E-004	1,000000000000000E+000
8,3112374E-002	4,973185445581189E-005	1,000000000000000E+000
8,4035859E-002	3,913021709215673E-004	1,000000000000000E+000
8,5048757E-002	6,145325237903142E-004	1,000000000000000E+000
8,6072914E-002	1,016976564208317E-003	1,000000000000000E+000
8,7069757E-002	1,240380615968210E-003	1,000000000000000E+000
8,8106938E-002	1,373653299796474E-003	1,000000000000000E+000
9,2094943E-002	2,396838643673703E-003	1,000000000000000E+000
9,6113712E-002	2,989819836453869E-003	1,000000000000000E+000
9,7031556E-002	3,067895929441213E-003	1,000000000000000E+000
9,8063111E-002	3,361386026137393E-003	1,000000000000000E+000
9,9034779E-002	3,591344506152061E-003	1,000000000000000E+000
1,0007457E-001	3,782590719972417E-003	1,000000000000000E+000
1,0104493E-001	3,687003812625673E-003	1,000000000000000E+000
1,0206041E-001	3,909581615062052E-003	1,000000000000000E+000
1,0307939E-001	4,066023087406480E-003	1,000000000000000E+000
1,0407796E-001	4,223622053772982E-003	1,000000000000000E+000
1,0508174E-001	4,370294970447677E-003	1,000000000000000E+000
1,0605860E-001	4,348369805525597E-003	1,000000000000000E+000
1,0704674E-001	4,477531623334387E-003	1,000000000000000E+000
1,0802882E-001	4,682164106808079E-003	1,000000000000000E+000
1,0907859E-001	4,736506033871365E-003	1,000000000000000E+000
1,1007240E-001	4,835059916124686E-003	1,000000000000000E+000
1,1104449E-001	5,100185419161615E-003	1,000000000000000E+000
1,1200140E-001	5,117406687945338E-003	1,000000000000000E+000
1,1307199E-001	5,198811320042296E-003	1,000000000000000E+000
1,1406667E-001	5,153731074146475E-003	1,000000000000000E+000
1,1810907E-001	6,134474851203497E-003	1,000000000000000E+000
1,2205694E-001	5,680179689079547E-003	1,000000000000000E+000
1,2303815E-001	5,879701382251690E-003	1,000000000000000E+000
1,2403976E-001	6,135705577104453E-003	1,000000000000000E+000
1,2505220E-001	5,969167396291275E-003	1,000000000000000E+000
1,2604901E-001	6,188577636500922E-003	1,000000000000000E+000
1,2705758E-001	6,205282937282230E-003	1,000000000000000E+000
1,2806092E-001	6,281921342799132E-003	1,000000000000000E+000
1,2906036E-001	6,666249438074534E-003	1,000000000000000E+000
1,3009842E-001	6,292809707040515E-003	1,000000000000000E+000
1,3109872E-001	6,455557083758015E-003	1,000000000000000E+000
