C:\EC-lab data\Neethu\2024_10_01_Ni90Fe10_ZrO2\CV_ECSA\CV_ECSA_04_CV_C01.mpr
Ewe/V	<I>/mA
6,674079596996307E-002	-3,269604966044426E-002
6,662195920944214E-002	-5,340640105411368E-003
6,764353066682816E-002	-5,320938382636906E-003
6,869161874055862E-002	-3,851712228020510E-003
6,967286765575409E-002	-2,871532509945818E-003
7,070717215538025E-002	-2,342411701546435E-003
7,168524712324142E-002	-1,817729526111280E-003
7,265801727771759E-002	-1,416365801863620E-003
7,367533445358276E-002	-1,114410209942837E-003
7,472448796033859E-002	-7,791003667736926E-004
7,718754559755325E-002	-1,237364727077105E-003
7,970821112394333E-002	-8,076316070299867E-004
8,068840950727463E-002	-5,686683145490357E-004
8,169195055961609E-002	-6,227932413922742E-004
8,267320692539215E-002	-3,176772390200227E-004
8,370006829500198E-002	-2,007603447395918E-004
8,467177301645279E-002	-1,765279531329923E-004
8,568380028009415E-002	1,248735376333037E-004
8,671279251575470E-002	8,224575357158089E-005
8,770996332168579E-002	1,841279488796108E-004
9,019179642200470E-002	5,280675926921195E-004
9,271065890789032E-002	1,637305252996967E-003
9,372799098491669E-002	1,755371183207899E-003
9,472621232271194E-002	1,825244955802600E-003
9,571172297000885E-002	1,823299585844833E-003
9,668555855751038E-002	1,911371549694105E-003
9,768484532833099E-002	1,990653744441157E-003
9,868837147951126E-002	2,099434907702549E-003
9,967387467622757E-002	2,182608086311835E-003
1,007124185562134E-001	2,175887643817188E-003
1,033167317509651E-001	2,183461940242132E-003
1,056537106633186E-001	1,785269918703617E-003
1,067495346069336E-001	2,959024692548461E-003
1,076650172472000E-001	2,476805141365434E-003
1,087587252259254E-001	2,559778210019834E-003
1,096604093909264E-001	2,843411946135660E-003
1,107063889503479E-001	2,519691368838225E-003
1,117003709077835E-001	2,990638434413197E-003
1,126710325479507E-001	2,752651900866319E-003
1,137084960937500E-001	2,839862387190814E-003
1,147141605615616E-001	3,051111070615474E-003
1,156932860612869E-001	2,807459887966018E-003
1,166893988847733E-001	3,104155573358483E-003
1,176897436380386E-001	3,041432005071941E-003
1,186678260564804E-001	3,013583101872230E-003
1,197159141302109E-001	3,225890956552291E-003
1,206335276365280E-001	3,122006925776889E-003
1,216890364885330E-001	3,150525974989357E-003
1,226352751255035E-001	3,264614285095981E-003
1,236865594983101E-001	3,204787312925970E-003
